dates,state,rt_point,rt_sd,rt_l95,rt_u95,rt_l50,rt_u50,cases_mean,cases_sd,cases_dates
10 March,India,1.6929966180201703,0.19655328780743953,1.307760036049101,2.0782331999912396,1.5604233909269305,1.8255698451134101,4.4,1.3564659966250536,03-04-2020
11 March,India,1.6189928830086149,0.17498670507934547,1.276025940521301,1.9619598254959287,1.500966100299647,1.7370196657175827,4.8,1.5362291495737217,03-05-2020
12 March,India,1.5856979197042678,0.1600451125510763,1.2720159009086602,1.8993799384998753,1.4777490917396923,1.6936467476688433,7.8,3.655133376499413,03-06-2020
13 March,India,1.588701737511761,0.1492123961313009,1.2962514095902564,1.8811520654332654,1.4880594684451598,1.689344006578362,10.9,2.256102834535696,03-07-2020
14 March,India,1.638821741001972,0.14115415983581947,1.3621652338901593,1.9154782481137849,1.5436146717343102,1.734028810269634,11.0,2.756809750418044,03-08-2020
15 March,India,1.761016768124384,0.1368292746270957,1.4928368630262616,2.0291966732225064,1.6687267906811543,1.8533067455676138,11.1,2.0712315177207983,03-09-2020
16 March,India,1.8333322377279047,0.1306596584187756,1.5772445336134413,2.089419941842368,1.7452036047210246,1.9214608707347847,9.0,2.4083189157584592,03-10-2020
17 March,India,1.8603565708729888,0.1224458508353372,1.6203676010697614,2.100345540676216,1.7777680689430622,1.9429450728029154,12.6,3.5832945734337835,03-11-2020
18 March,India,1.801794859041033,0.11162957017233495,1.5830053666860635,2.020584351396003,1.7265018302554949,1.8770878878265713,13.7,4.382921400162226,03-12-2020
19 March,India,1.7249680066947164,0.0998851272998318,1.529197152592138,1.9207388607972948,1.6575964871822528,1.79233952620718,16.1,3.9357337308308855,03-13-2020
20 March,India,1.667314526568635,0.08980607143010695,1.4912982188084827,1.8433308343287875,1.6067412294497423,1.727887823687528,20.7,3.5227829907617076,03-14-2020
21 March,India,1.6058264918262928,0.08091955572871125,1.4472273993802478,1.7644255842723378,1.5512470606828344,1.6604059229697512,27.9,3.389690251335659,03-15-2020
22 March,India,1.566523443340711,0.0737186056710022,1.4220379249697734,1.7110089617116484,1.5168009810016767,1.6162459056797451,35.8,6.477653896280659,03-16-2020
23 March,India,1.5406972513121722,0.0680963021948477,1.4072312228623585,1.6741632797619859,1.4947669764447693,1.586627526179575,51.5,5.6258332716140815,03-17-2020
24 March,India,1.555735597991207,0.0644111087907551,1.4294924012056787,1.6819787947767355,1.5122909492229306,1.5991802467594836,61.5,4.631414470763764,03-18-2020
25 March,India,1.557325014863467,0.06156651803288078,1.4366571021797419,1.677992927547192,1.5157990141154691,1.5988510156114648,78.3,7.1700767080973415,03-19-2020
26 March,India,1.6025260187243249,0.06016424137942203,1.484606512190313,1.7204455252583368,1.5619458395563186,1.6431061978923311,81.5,7.57957782465488,03-20-2020
27 March,India,1.6912613043855838,0.06141518734660557,1.5708899937937306,1.8116326149774369,1.6498373746721717,1.7326852340989958,85.4,10.081666528902849,03-21-2020
28 March,India,1.741690515208249,0.06355155583095246,1.6171320078418154,1.8662490225746824,1.69882562631583,1.784555404100668,96.3,4.712748667179272,03-22-2020
29 March,India,1.7285625081499159,0.06351307629842891,1.6040794191280472,1.8530455971717845,1.6857235733173885,1.7714014429824432,104.2,10.047885349664377,03-23-2020
30 March,India,1.6883801856099698,0.06062825899238612,1.5695512231152526,1.807209148104687,1.6474870312021954,1.7292733400177442,120.3,11.054863183232978,03-24-2020
31 March,India,1.621792500926833,0.055918363051991556,1.5121947460794516,1.7313902557742145,1.5840761242318953,1.6595088776217708,146.4,11.499565209172042,03-25-2020
01 April,India,1.5402580111611952,0.049849672950058856,1.442554646165998,1.6379613761563925,1.50663490525311,1.5738811170692804,187.4,9.551963149007642,03-26-2020
02 April,India,1.4765965407175252,0.04390778511217124,1.390539038209074,1.5626540432259763,1.4469811787372169,1.5062119026978336,222.4,20.635891063872187,03-27-2020
03 April,India,1.42618969526809,0.038940761125070986,1.3498673610933958,1.502512029442784,1.3999245412968409,1.452454849239339,284.4,23.749526311065658,03-28-2020
04 April,India,1.3812514042666941,0.034790804252128334,1.3130628195646927,1.4494399889686955,1.357785354706676,1.4047174538267122,386.9,17.230496220364635,03-29-2020
05 April,India,1.3428510716478441,0.031307041472814094,1.2814905226427875,1.4042116206529007,1.3217347852448458,1.3639673580508425,474.2,19.07773571470157,03-30-2020
06 April,India,1.324348487458142,0.028603987357593095,1.2682858163967539,1.38041115851953,1.305055384025319,1.343641590890965,519.9,17.114029332684925,03-31-2020
07 April,India,1.3006909059398288,0.026628085521614425,1.2485009234408855,1.3528808884387722,1.282730528536355,1.3186512833433026,564.1,29.679791104386165,04-01-2020
08 April,India,1.290498590084627,0.02495480631815719,1.2415881678932916,1.3394090122759625,1.2736668227710932,1.307330357398161,577.4,30.030651008594536,04-02-2020
09 April,India,1.2937818538042731,0.023957050641211685,1.246826992829524,1.3407367147790223,1.2776230627172822,1.309940644891264,569.7,15.627219842313604,04-03-2020
10 April,India,1.2845235457980049,0.023325519024788587,1.2388064615301801,1.3302406300658296,1.2687907164709753,1.3002563751250344,589.8,22.648620267027304,04-04-2020
11 April,India,1.262197248013044,0.022302662016424016,1.2184849225673335,1.3059095734587542,1.247154325509586,1.2772401705165017,642.8,39.193877072828606,04-05-2020
12 April,India,1.24318593414704,0.020951447297004874,1.2021219355028023,1.2842499327912775,1.229054392459683,1.2573174758343968,725.0,23.08679276123039,04-06-2020
13 April,India,1.230956128091514,0.019753520704466853,1.192240017651587,1.269672238531441,1.217632575911558,1.24427968027147,796.7,21.881727536919932,04-07-2020
14 April,India,1.228605549914123,0.018887839672865628,1.1915861396688934,1.2656249601593528,1.2158658909331719,1.2413452088950743,886.0,22.09524835796149,04-08-2020
15 April,India,1.2308143395472242,0.018429701760892626,1.1946928612839451,1.2669358178105032,1.2183836900065197,1.2432449890879287,911.4,23.290341345716683,04-09-2020
16 April,India,1.213648567887786,0.017964140219797014,1.1784395716225926,1.2488575641529793,1.201531934950935,1.225765200824637,972.4,26.99703687444235,04-10-2020
17 April,India,1.198737748563421,0.01704631302254495,1.1653276568917539,1.232147840235088,1.1872401808928446,1.2102353162339974,1048.7,18.894708253900085,04-11-2020
18 April,India,1.193135781893102,0.01623870086518626,1.1613085777453716,1.2249629860408326,1.1821829405465427,1.2040886232396615,1054.9,19.531768993104542,04-12-2020
19 April,India,1.193165064789941,0.01575030070599044,1.162295105418228,1.224035024161654,1.1825416444667576,1.2037884851131244,1045.4,27.118997031601296,04-13-2020
20 April,India,1.189957518614947,0.015421564967696418,1.1597318681408606,1.2201831690890332,1.1795558272598854,1.2003592099700084,1115.2,39.70340035815572,04-14-2020
21 April,India,1.180229662486674,0.01502963199407091,1.1507721849635748,1.209687140009773,1.170092326002993,1.190366998970355,1204.6,26.732751448363857,04-15-2020
22 April,India,1.1621660192748997,0.01439136804161082,1.1339595135680642,1.1903725249817352,1.1524591854445136,1.1718728531052858,1358.4,41.190290117939206,04-16-2020
23 April,India,1.14696094067092,0.013531494561959036,1.1204397525892629,1.1734821287525772,1.1378340829038243,1.1560877984380158,1447.1,20.987853630135696,04-17-2020
