"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,2.59123214514639,1.98411455335312,0.228945831507045,0.365316706183022,1.15416341477254,2.11599111381201,3.50212867992031,6.37377482882602,7.56867707428425
"2",3,10,2.59477065802157,1.99891095041135,0.227765588011452,0.363357353387391,1.12082002643376,2.1100817837049,3.55624215413563,6.55820205721848,7.74043530483669
"3",4,11,2.63088522485216,2.04632165423994,0.233809078732207,0.37489991169517,1.13215295575337,2.10775934106815,3.59541034022656,6.61807708466156,7.89499016797747
"4",5,12,2.58215411871906,1.98164742247328,0.232954781602359,0.365446756927573,1.12441108616184,2.08462689375554,3.51106548081131,6.47128295479146,7.62971806545979
"5",6,13,2.60755720514561,2.00843983603661,0.22201464460859,0.359791466752622,1.14991946638861,2.10454502017776,3.5422423793396,6.53590296717957,7.7599557476945
"6",7,14,2.60460956638356,2.00935655305843,0.23290625855814,0.378490015149523,1.14183446404246,2.09621132030452,3.53349019745029,6.52565376948962,7.77317866191156
"7",8,15,2.61048822629842,1.98709737131312,0.229850660669872,0.357064602366561,1.13843535310632,2.11691028614229,3.57199588466644,6.54250305204049,7.72117784601244
"8",9,16,2.62353668602426,2.01783065336148,0.236048038576023,0.374247921212935,1.15276344969293,2.13452396816972,3.55832901813637,6.57166106963041,7.83512617726608
"9",10,17,2.57872428723604,1.98854049942858,0.222957136946079,0.347593461747031,1.1231034673761,2.098330412983,3.49139968581096,6.44196430761729,7.67395902740425
"10",11,18,2.58093937721558,1.98741367682689,0.242728921329255,0.368368892990773,1.12968828236303,2.0897819347459,3.53774958996434,6.47220525397421,7.72676733280334
"11",12,19,2.60522655129659,1.9942898323686,0.226500251798235,0.369316150073117,1.14993170358826,2.10112674844805,3.54578426595022,6.55853268087956,7.79590001284481
"12",13,20,2.58885713563478,1.99815658288707,0.256765570998949,0.377466537304942,1.14460087940254,2.08650344347968,3.49392310293554,6.53692397055446,7.63388072734364
"13",14,21,2.61340508789607,2.01431470204506,0.255727134546592,0.371461358298547,1.14421547650724,2.12301197323314,3.55979106811854,6.51000246377747,7.62959297507662
"14",15,22,2.5857796679691,1.98691992763466,0.237187130392337,0.355194822586751,1.12803466224563,2.09605150137675,3.52396010510646,6.50686759599841,7.60831723769993
"15",16,23,2.58727181840208,2.01275315875775,0.231234191303662,0.372368278954299,1.11712609159537,2.08111609070887,3.49213169463065,6.49571695025654,7.84093010535966
"16",17,24,2.57223256017358,1.98501384099348,0.217088618184465,0.347294349685763,1.1227978470469,2.08585204203676,3.50490399802501,6.42030158350073,7.62370983455596
"17",18,25,2.59272061988827,1.97779408710551,0.245131567196105,0.368731344589059,1.13051402017673,2.10772352574921,3.54628051264957,6.48221265286876,7.65776657975681
"18",19,26,2.60783369593805,1.97200731206808,0.237411609994238,0.373514752047651,1.16487443487116,2.14043235456473,3.56331963011591,6.41502310179531,7.6222210646565
