state,dates,retail,grocery,parks,transit,workplace,residential,average_mobility
India,15 February,1.0,2.0,3.0,3.0,5.0,0.0,2.75
India,16 February,2.0,2.0,3.0,2.0,0.0,0.0,1.5
India,17 February,-1.0,1.0,3.0,1.0,4.0,0.0,1.25
India,18 February,0.0,2.0,4.0,2.0,3.0,0.0,1.75
India,19 February,0.0,2.0,1.0,1.0,4.0,1.0,1.75
India,20 February,1.0,3.0,5.0,5.0,4.0,-1.0,3.25
India,21 February,-4.0,0.0,6.0,-4.0,-19.0,5.0,-6.75
India,22 February,-4.0,0.0,6.0,-4.0,-19.0,5.0,-6.75
India,23 February,-4.0,0.0,6.0,-4.0,-19.0,5.0,-6.75
India,24 February,-1.0,0.0,2.0,1.0,4.0,0.0,1.0
India,25 February,-1.0,-2.0,3.0,1.0,1.0,0.0,-0.25
India,26 February,0.0,0.0,1.0,3.0,3.0,-1.0,1.5
India,27 February,-1.0,-1.0,3.0,1.0,4.0,0.0,0.75
India,28 February,0.0,1.0,3.0,1.0,5.0,0.0,1.75
India,29 February,0.0,1.0,3.0,1.0,5.0,0.0,1.75
India,01 March,0.0,1.0,3.0,1.0,5.0,0.0,1.75
India,02 March,0.0,2.0,3.0,0.0,5.0,0.0,1.75
India,03 March,-1.0,2.0,3.0,0.0,4.0,0.0,1.25
India,04 March,0.0,5.0,1.0,3.0,7.0,0.0,3.75
India,05 March,-1.0,3.0,3.0,2.0,5.0,0.0,2.25
India,06 March,-1.0,2.0,0.0,3.0,5.0,1.0,2.25
India,07 March,-1.0,2.0,0.0,3.0,5.0,1.0,2.25
India,08 March,-1.0,2.0,0.0,3.0,5.0,1.0,2.25
India,09 March,-1.0,6.0,4.0,-6.0,-12.0,3.0,-3.25
India,10 March,-19.0,-23.0,-4.0,-22.0,-44.0,11.0,-27.0
India,11 March,-5.0,-1.0,-2.0,-1.0,-5.0,1.0,-3.0
India,12 March,-3.0,1.0,2.0,0.0,0.0,0.0,-0.5
India,13 March,-5.0,1.0,0.0,-2.0,0.0,1.0,-1.5
India,14 March,-5.0,1.0,0.0,-2.0,0.0,1.0,-1.5
India,15 March,-5.0,1.0,0.0,-2.0,0.0,1.0,-1.5
India,16 March,-8.0,2.0,-1.0,-6.0,-4.0,3.0,-4.0
India,17 March,-11.0,0.0,-2.0,-9.0,-8.0,3.0,-7.0
India,18 March,-12.0,1.0,-6.0,-10.0,-8.0,4.0,-7.25
India,19 March,-16.0,1.0,-7.0,-14.0,-11.0,5.0,-10.0
India,20 March,-22.0,1.0,-13.0,-18.0,-15.0,7.0,-13.5
India,21 March,-22.0,1.0,-13.0,-18.0,-15.0,7.0,-13.5
India,22 March,-22.0,1.0,-13.0,-18.0,-15.0,7.0,-13.5
India,23 March,-54.0,-27.0,-35.0,-52.0,-50.0,20.0,-45.75
India,24 March,-68.0,-48.0,-44.0,-64.0,-65.0,25.0,-61.25
India,25 March,-77.0,-64.0,-53.0,-73.0,-72.0,30.0,-71.5
India,26 March,-76.0,-64.0,-51.0,-73.0,-70.0,30.0,-70.75
India,27 March,-77.0,-64.0,-52.0,-73.0,-70.0,31.0,-71.0
India,28 March,-77.0,-64.0,-52.0,-73.0,-70.0,31.0,-71.0
India,29 March,-77.0,-64.0,-52.0,-73.0,-70.0,31.0,-71.0
India,30 March,-76.0,-63.0,-51.0,-74.0,-68.0,30.0,-70.25
India,31 March,-75.0,-63.0,-50.0,-73.0,-68.0,29.0,-69.75
India,01 April,-76.0,-64.0,-52.0,-73.0,-68.0,29.0,-70.25
India,02 April,-76.0,-65.0,-51.0,-74.0,-69.0,30.0,-71.0
