S.no.,State,Population
1,Delhi,18710922
2,Haryana,28204692
3,Kerala,35699443
4,Himachal Pradesh,7451955
5,Punjab,30141373
6,Telangana,39362732
7,Goa,1586250
8,Uttarakhand,11250858
9,Chandigarh,1158473
10,Gujarat,63872399
11,Lakshadweep,73183
12,Dadra and Nagar Haveli and Daman and Diu,615724
13,Tamil Nadu,77841267
14,Chhattisgarh,29436231
15,Andaman and Nicobar Islands,417036
16,Maharashtra,123144223
17,Karnataka,67562686
18,West Bengal,99609303
19,Odisha,46356334
20,Puducherry,1413542
21,Andhra Pradesh,53903393
22,Jharkhand,38593948
23,Mizoram,1239244
24,Tripura,4169794
25,Madhya Pradesh,85358965
26,Uttar Pradesh,237882725
27,Rajasthan,81032689
28,Sikkim,690251
29,Bihar,124799926
30,Manipur,3091545
31,Arunachal Pradesh,1570458
32,Jammu and Kashmir,13606320
33,Ladakh,289023
34,Nagaland,2249695
35,Meghalaya,3366710
36,Assam,35607039
37,India,1371360350
