"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,2.60786032516768,2.02472000378634,0.233531638267904,0.362586607881639,1.13003618834267,2.10857754364156,3.5392847984305,6.59618949163429,7.73626386433619
"2",3,10,2.58703446001762,1.99303307091655,0.236330697995518,0.378717074094678,1.1326703792211,2.10606939628989,3.49089190501759,6.58920159176334,7.77331804326633
"3",4,11,2.59643648764284,1.99889927005545,0.226032686697419,0.364175169798554,1.13420721178438,2.09805601734659,3.52521737830139,6.56138111348269,7.70812833887684
"4",5,12,2.58660476644162,1.97587270212402,0.246053275332375,0.376606661450662,1.13423819105877,2.10590492892453,3.527576193914,6.4438879104236,7.73600617080567
"5",6,13,2.61463928463319,2.0227032932128,0.240249898987087,0.372026354394002,1.13794805794434,2.11687229523816,3.55381198046383,6.57656633230314,7.84219183622261
"6",7,14,2.58834288062251,1.99529666869034,0.245736400224401,0.376548609917162,1.12008502511858,2.10430136046965,3.49737211385447,6.51061705498545,7.6650946897428
"7",8,15,2.62921058134275,2.02670961780197,0.240105911049214,0.372768152850814,1.13665461659833,2.12469180900051,3.57951224429703,6.60292509016728,7.71302468972088
"8",9,16,2.61143940195072,1.98776018835169,0.236341662710186,0.370569546868369,1.15794389849537,2.1176132658677,3.54911209109345,6.5061312035163,7.79004834581714
"9",10,17,2.59439714054773,1.98874483008818,0.229330836663637,0.36949091538137,1.13600545239574,2.10008504394695,3.53446513625371,6.49776458266705,7.70555980063202
"10",11,18,2.59846766172717,2.0011913940537,0.241228043530422,0.361320707090554,1.12906648276869,2.08893252104305,3.55595442578724,6.51763120698843,7.77124605545697
"11",12,19,2.5944590316799,1.9703211973327,0.242701587510944,0.378337233257723,1.14280295541607,2.11687118204714,3.53559897694043,6.41800229401788,7.51899656862165
"12",13,20,2.55580776317782,1.96629217182033,0.235029940830992,0.360333830113267,1.11573883062652,2.08130601787736,3.46490685775812,6.39145370307337,7.60404049185537
"13",14,21,2.59900199922591,1.98776359270622,0.235903750148533,0.365093924163786,1.1312355158917,2.12182082112859,3.55902465711639,6.44408641567862,7.67687269913484
"14",15,22,2.58331942145684,1.96129388557918,0.247024633936008,0.373854079428958,1.15078530406368,2.11012814652464,3.51401032546877,6.44620709730021,7.55436305309695
