state,dates,retail,grocery,parks,transit,workplace,residential,average_mobility
India,15 February,1,2,3,3,5,0,2.75
India,16 February,2,2,3,2,0,0,1.5
India,17 February,-1,1,3,1,4,0,1.25
India,18 February,0,2,4,2,3,0,1.75
India,19 February,0,2,1,1,4,1,1.75
India,20 February,1,3,5,5,4,-1,3.25
India,21 February,-4,0,6,-4,-19,5,-6.75
India,22 February,-4,0,6,-4,-19,5,-6.75
India,23 February,-4,0,6,-4,-19,5,-6.75
India,24 February,-1,0,2,1,4,0,1.0
India,25 February,-1,-2,3,1,1,0,-0.25
India,26 February,0,0,1,3,3,-1,1.5
India,27 February,-1,-1,3,1,4,0,0.75
India,28 February,0,1,3,1,5,0,1.75
India,29 February,0,1,3,1,5,0,1.75
India,01 March,0,1,3,1,5,0,1.75
India,02 March,0,2,3,0,5,0,1.75
India,03 March,-1,2,3,0,4,0,1.25
India,04 March,0,5,1,3,7,0,3.75
India,05 March,-1,3,3,2,5,0,2.25
India,06 March,-1,2,0,3,5,1,2.25
India,07 March,-1,2,0,3,5,1,2.25
India,08 March,-1,2,0,3,5,1,2.25
India,09 March,-1,6,4,-6,-12,3,-3.25
India,10 March,-19,-23,-4,-22,-44,11,-27.0
India,11 March,-5,-1,-2,-1,-5,1,-3.0
India,12 March,-3,1,2,0,0,0,-0.5
India,13 March,-5,1,0,-2,0,1,-1.5
India,14 March,-5,1,0,-2,0,1,-1.5
India,15 March,-5,1,0,-2,0,1,-1.5
India,16 March,-8,2,-1,-6,-4,3,-4.0
India,17 March,-11,0,-2,-9,-8,3,-7.0
India,18 March,-12,1,-6,-10,-8,4,-7.25
India,19 March,-16,1,-7,-14,-11,5,-10.0
India,20 March,-22,1,-13,-18,-15,7,-13.5
India,21 March,-22,1,-13,-18,-15,7,-13.5
India,22 March,-22,1,-13,-18,-15,7,-13.5
India,23 March,-54,-27,-35,-52,-50,20,-45.75
India,24 March,-68,-48,-44,-64,-65,25,-61.25
India,25 March,-77,-64,-53,-73,-72,30,-71.5
India,26 March,-76,-64,-51,-73,-70,30,-70.75
India,27 March,-77,-64,-52,-73,-70,31,-71.0
India,28 March,-77,-64,-52,-73,-70,31,-71.0
India,29 March,-77,-64,-52,-73,-70,31,-71.0
India,30 March,-76,-63,-51,-74,-68,30,-70.25
India,31 March,-75,-63,-50,-73,-68,29,-69.75
India,01 April,-76,-64,-52,-73,-68,29,-70.25
India,02 April,-76,-65,-51,-74,-69,30,-71.0
India,03 April,-76,-62,-51,-73,-67,30,-69.5
India,04 April,-76,-62,-51,-73,-67,30,-69.5
India,05 April,-76,-62,-51,-73,-67,30,-69.5
India,06 April,-76,-63,-50,-73,-68,30,-70.0
India,07 April,-78,-53,-46,-67,-67,28,-66.25
India,08 April,-78,-52,-48,-68,-67,29,-66.25
India,09 April,-78,-54,-48,-68,-68,30,-67.0
India,10 April,-79,-53,-48,-69,-69,32,-67.5
India,11 April,-79,-53,-48,-69,-69,32,-67.5
India,12 April,-79,-53,-48,-69,-69,32,-67.5
India,13 April,-78,-53,-48,-69,-66,31,-66.5
India,14 April,-78,-55,-47,-69,-69,30,-67.75
India,15 April,-78,-51,-48,-66,-64,29,-64.75
India,16 April,-85,-44,-60,-65,-65,30,-64.75
India,17 April,-85,-43,-60,-65,-65,31,-64.5
India,18 April,-85,-43,-60,-65,-65,31,-64.5
India,19 April,-85,-43,-60,-65,-65,31,-64.5
India,20 April,-86,-47,-62,-67,-63,30,-65.75
India,21 April,-85,-47,-62,-66,-64,29,-65.5
India,22 April,-86,-46,-63,-66,-63,29,-65.25
India,23 April,-86,-47,-62,-66,-64,30,-65.75
India,24 April,-85,-44,-63,-66,-63,30,-64.5
India,25 April,-85,-44,-63,-66,-63,30,-64.5
India,26 April,-85,-44,-63,-66,-63,30,-64.5
India,27 April,-85,-47,-62,-67,-62,31,-65.25
India,28 April,-85,-46,-61,-66,-63,28,-65.0
India,29 April,-85,-44,-62,-64,-61,29,-63.5
India,30 April,-84,-43,-60,-64,-61,29,-63.0
India,01 May,-85,-43,-62,-65,-64,30,-64.25
India,02 May,-85,-43,-62,-65,-64,30,-64.25
India,03 May,-85,-43,-62,-65,-64,30,-64.25
India,04 May,-81,-35,-60,-61,-56,27,-58.25
India,05 May,-81,-35,-60,-59,-56,26,-57.75
India,06 May,-79,-30,-60,-56,-54,25,-54.75
India,07 May,-79,-31,-59,-57,-56,26,-55.75
India,08 May,-79,-28,-59,-56,-52,26,-53.75
India,09 May,-79,-28,-59,-56,-52,26,-53.75
India,10 May,-79,-28,-59,-56,-52,26,-53.75
India,11 May,-78,-28,-58,-56,-50,25,-53.0
India,12 May,-78,-28,-57,-55,-52,24,-53.25
India,13 May,-77,-26,-58,-53,-49,23,-51.25
India,14 May,-77,-27,-57,-54,-49,23,-51.75
India,15 May,-76,-22,-56,-52,-48,23,-49.5
India,16 May,-76,-22,-56,-52,-48,23,-49.5
India,17 May,-76,-22,-56,-52,-48,23,-49.5
India,18 May,-74,-21,-56,-52,-45,22,-48.0
India,19 May,-73,-20,-56,-50,-46,21,-47.25
India,20 May,-72,-21,-57,-49,-44,21,-46.5
India,21 May,-72,-20,-56,-49,-44,21,-46.25
India,22 May,-72,-17,-56,-48,-42,21,-44.75
India,23 May,-72,-17,-56,-48,-42,21,-44.75
India,24 May,-72,-17,-56,-48,-42,21,-44.75
India,25 May,-71,-19,-55,-51,-51,22,-48.0
India,26 May,-70,-16,-54,-46,-42,19,-43.5
India,27 May,-69,-13,-55,-45,-39,19,-41.5
India,28 May,-69,-14,-54,-46,-40,19,-42.25
India,29 May,-69,-10,-54,-45,-38,19,-40.5
India,30 May,-69,-10,-54,-45,-38,19,-40.5
India,31 May,-69,-10,-54,-45,-38,19,-40.5
India,01 June,-65,-4,-53,-41,-35,17,-36.25
India,02 June,-65,-4,-53,-40,-37,16,-36.5
India,03 June,-65,-4,-54,-40,-35,17,-36.0
India,04 June,-64,-4,-53,-39,-35,16,-35.5
India,05 June,-62,-2,-52,-39,-34,17,-34.25
Andaman and Nicobar Islands,15 February,1,-9,5,-2,6,2,-1.0
Andaman and Nicobar Islands,16 February,0,-6,1,2,4,,0.0
Andaman and Nicobar Islands,17 February,-1,2,5,1,6,1,2.0
Andaman and Nicobar Islands,18 February,-2,12,-4,-1,4,3,3.25
Andaman and Nicobar Islands,19 February,-5,9,-6,2,4,1,2.5
Andaman and Nicobar Islands,20 February,-2,-4,3,-1,1,1,-1.5
Andaman and Nicobar Islands,21 February,-1,-9,1,1,-9,4,-4.5
