dates,state,positivity_rate_cumulative,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,test_per_million
30 January,Andaman and Nicobar Islands,,,,,,
31 January,Andaman and Nicobar Islands,,,,,,
01 February,Andaman and Nicobar Islands,,,,,,
02 February,Andaman and Nicobar Islands,,,,,,
03 February,Andaman and Nicobar Islands,,,,,,
04 February,Andaman and Nicobar Islands,,,,,,
05 February,Andaman and Nicobar Islands,,,,,,
06 February,Andaman and Nicobar Islands,,,,,,
07 February,Andaman and Nicobar Islands,,,,,,
08 February,Andaman and Nicobar Islands,,,,,,
09 February,Andaman and Nicobar Islands,,,,,,
10 February,Andaman and Nicobar Islands,,,,,,
11 February,Andaman and Nicobar Islands,,,,,,
12 February,Andaman and Nicobar Islands,,,,,,
13 February,Andaman and Nicobar Islands,,,,,,
14 February,Andaman and Nicobar Islands,,,,,,
15 February,Andaman and Nicobar Islands,,,,,,
16 February,Andaman and Nicobar Islands,,,,,,
17 February,Andaman and Nicobar Islands,,,,,,
18 February,Andaman and Nicobar Islands,,,,,,
19 February,Andaman and Nicobar Islands,,,,,,
20 February,Andaman and Nicobar Islands,,,,,,
21 February,Andaman and Nicobar Islands,,,,,,
22 February,Andaman and Nicobar Islands,,,,,,
23 February,Andaman and Nicobar Islands,,,,,,
24 February,Andaman and Nicobar Islands,,,,,,
25 February,Andaman and Nicobar Islands,,,,,,
26 February,Andaman and Nicobar Islands,,,,,,
27 February,Andaman and Nicobar Islands,,,,,,
28 February,Andaman and Nicobar Islands,,,,,,
29 February,Andaman and Nicobar Islands,,,,,,
01 March,Andaman and Nicobar Islands,,,,,,
02 March,Andaman and Nicobar Islands,,,,,,
03 March,Andaman and Nicobar Islands,,,,,,
04 March,Andaman and Nicobar Islands,,,,,,
05 March,Andaman and Nicobar Islands,,,,,,
06 March,Andaman and Nicobar Islands,,,,,,
07 March,Andaman and Nicobar Islands,,,,,,
08 March,Andaman and Nicobar Islands,,,,,,
09 March,Andaman and Nicobar Islands,,,,,,
10 March,Andaman and Nicobar Islands,,,,,,
11 March,Andaman and Nicobar Islands,,,,,,
12 March,Andaman and Nicobar Islands,,,,,,
13 March,Andaman and Nicobar Islands,,,,,,
14 March,Andaman and Nicobar Islands,,,,,,
15 March,Andaman and Nicobar Islands,,,,,,
16 March,Andaman and Nicobar Islands,,,,,,
17 March,Andaman and Nicobar Islands,,,,,,
18 March,Andaman and Nicobar Islands,,,,,,
19 March,Andaman and Nicobar Islands,,,,,,
20 March,Andaman and Nicobar Islands,,,,,,
21 March,Andaman and Nicobar Islands,,,,,,
22 March,Andaman and Nicobar Islands,,,,,,
23 March,Andaman and Nicobar Islands,,,,,,
24 March,Andaman and Nicobar Islands,,,,,,
25 March,Andaman and Nicobar Islands,,,,,,
26 March,Andaman and Nicobar Islands,,,,,,
27 March,Andaman and Nicobar Islands,,,,,,
28 March,Andaman and Nicobar Islands,,,,,,
29 March,Andaman and Nicobar Islands,,,,,,
30 March,Andaman and Nicobar Islands,,,,,,
31 March,Andaman and Nicobar Islands,,,,,,
01 April,Andaman and Nicobar Islands,,,,,,
02 April,Andaman and Nicobar Islands,,,,,,
03 April,Andaman and Nicobar Islands,,,,,,
04 April,Andaman and Nicobar Islands,,,,,,
05 April,Andaman and Nicobar Islands,,,,,,
06 April,Andaman and Nicobar Islands,,,,,,
07 April,Andaman and Nicobar Islands,,,,,,
08 April,Andaman and Nicobar Islands,,,,,,
09 April,Andaman and Nicobar Islands,,,,,,
10 April,Andaman and Nicobar Islands,,,,,,
11 April,Andaman and Nicobar Islands,,,,,,
12 April,Andaman and Nicobar Islands,,,,,,
13 April,Andaman and Nicobar Islands,,,,,,
14 April,Andaman and Nicobar Islands,,,,,,
15 April,Andaman and Nicobar Islands,,,,,,
16 April,Andaman and Nicobar Islands,,,,,,
17 April,Andaman and Nicobar Islands,,12,,,,
18 April,Andaman and Nicobar Islands,,,,,,
19 April,Andaman and Nicobar Islands,,,,,,
20 April,Andaman and Nicobar Islands,,,,,,
21 April,Andaman and Nicobar Islands,,,,,,
22 April,Andaman and Nicobar Islands,,,,,,
23 April,Andaman and Nicobar Islands,,,,,,
24 April,Andaman and Nicobar Islands,,27,,,,
25 April,Andaman and Nicobar Islands,,,,,,
26 April,Andaman and Nicobar Islands,,,,,,
27 April,Andaman and Nicobar Islands,,33,,,,
28 April,Andaman and Nicobar Islands,,,,,,
29 April,Andaman and Nicobar Islands,,,,,,
30 April,Andaman and Nicobar Islands,,,,,,
01 May,Andaman and Nicobar Islands,,33,,,,
02 May,Andaman and Nicobar Islands,,,,,,
03 May,Andaman and Nicobar Islands,,,,,,
04 May,Andaman and Nicobar Islands,,,,,,
05 May,Andaman and Nicobar Islands,,,,,,
06 May,Andaman and Nicobar Islands,,,,,,
07 May,Andaman and Nicobar Islands,,,,,,
08 May,Andaman and Nicobar Islands,,,,,,
09 May,Andaman and Nicobar Islands,,,,,,
10 May,Andaman and Nicobar Islands,,,,,,
11 May,Andaman and Nicobar Islands,,,,,,
12 May,Andaman and Nicobar Islands,,,,,,
13 May,Andaman and Nicobar Islands,,,,,,
14 May,Andaman and Nicobar Islands,,,,,,
15 May,Andaman and Nicobar Islands,,,,,,
16 May,Andaman and Nicobar Islands,,33,,,,
17 May,Andaman and Nicobar Islands,,,,,,
18 May,Andaman and Nicobar Islands,,,,,,
19 May,Andaman and Nicobar Islands,,,,,,
20 May,Andaman and Nicobar Islands,,,,,,
21 May,Andaman and Nicobar Islands,,,,,,
22 May,Andaman and Nicobar Islands,,33,,,,
23 May,Andaman and Nicobar Islands,,,,,,
24 May,Andaman and Nicobar Islands,,,,,,
25 May,Andaman and Nicobar Islands,,,,,,
26 May,Andaman and Nicobar Islands,,,,,,
27 May,Andaman and Nicobar Islands,,,,,,
28 May,Andaman and Nicobar Islands,,,,,,
29 May,Andaman and Nicobar Islands,,,,,,
30 May,Andaman and Nicobar Islands,,,,,,
31 May,Andaman and Nicobar Islands,,,,,,
01 June,Andaman and Nicobar Islands,,,,,,
02 June,Andaman and Nicobar Islands,,,,,,
03 June,Andaman and Nicobar Islands,,,,,,
04 June,Andaman and Nicobar Islands,,,,,,
05 June,Andaman and Nicobar Islands,,,,,,
06 June,Andaman and Nicobar Islands,,,,,,
30 January,Andhra Pradesh,,,,,,
31 January,Andhra Pradesh,,,,,,
01 February,Andhra Pradesh,,,,,,
02 February,Andhra Pradesh,,,,,,
03 February,Andhra Pradesh,,,,,,
04 February,Andhra Pradesh,,,,,,
