state,dates,cum_positive_cases,cum_positivity_rate,daily_positive_cases,cum_recovered,daily_recovered,cum_deceased,daily_deceased,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tests,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma,cfr1_point,cfr2_point,cfr3_point,cfr3_l95,cfr3_u95,cfr3_l50,cfr3_u50,dbt_point,dbt_l95,dbt_u95,rt_point,rt_sd,rt_l95,rt_u95,rt_l50,rt_u50,t_end
Anantapur,2020-01-30,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.5935912329341404,1.99853975874499,0.23297500454675302,7.74224992943328,6.46164458821375,6.46164458821375,10.0
Anantapur,2020-01-31,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.58004366023423,1.99137392946256,0.232846777959205,7.815117324554441,6.53298389728757,6.53298389728757,11.0
Anantapur,2020-02-01,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.62976336217489,2.02186695628512,0.246847106424482,7.75699911367615,6.58310267160774,6.58310267160774,12.0
Anantapur,2020-02-02,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.58383426037829,1.9919430451818,0.23753735095403,7.68021037241959,6.508034017137099,6.508034017137099,13.0
Anantapur,2020-02-03,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.62057942829216,2.0173440639877502,0.244307333190375,7.83146554144086,6.66771630949844,6.66771630949844,14.0
Anantapur,2020-02-04,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.60134701177516,1.97738420108195,0.24432663887577602,7.670803388679089,6.4849796885781394,6.4849796885781394,15.0
Anantapur,2020-02-05,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.57951082119653,2.00921958867569,0.22496888075461605,7.799482423506451,6.51245967393653,6.51245967393653,16.0
Anantapur,2020-02-06,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.6200414896234503,2.01037242155656,0.23140210129865502,7.76689390840758,6.53879328211437,6.53879328211437,17.0
Anantapur,2020-02-07,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.61081819977881,2.00685301843146,0.245915406073757,7.73206885935619,6.530915892258049,6.530915892258049,18.0
Anantapur,2020-02-08,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.6266488303180497,2.0080901688367097,0.242558653575464,7.792083610090869,6.548286817753089,6.548286817753089,19.0
