dates,state,cum_positive_cases,cum_positivity_rate,cum_recovered,cum_deceased,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tested,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma
30 January,Anantapur,,,,,,,,,,,,,,,
31 January,Anantapur,,,,,,,,,,,,,,,
01 February,Anantapur,,,,,,,,,,,,,,,
02 February,Anantapur,,,,,,,,,,,,,,,
03 February,Anantapur,,,,,,,,,,,,,,,
04 February,Anantapur,,,,,,,,,,,,,,,
05 February,Anantapur,,,,,,,,,,,,,,,
06 February,Anantapur,,,,,,,,,,,,,,,
07 February,Anantapur,,,,,,,,,,,,,,,
08 February,Anantapur,,,,,,,,,,,,,,,
09 February,Anantapur,,,,,,,,,,,,,,,
10 February,Anantapur,,,,,,,,,,,,,,,
11 February,Anantapur,,,,,,,,,,,,,,,
12 February,Anantapur,,,,,,,,,,,,,,,
13 February,Anantapur,,,,,,,,,,,,,,,
14 February,Anantapur,,,,,,,,,,,,,,,
15 February,Anantapur,,,,,,,,,,,,,,,
16 February,Anantapur,,,,,,,,,,,,,,,
17 February,Anantapur,,,,,,,,,,,,,,,
18 February,Anantapur,,,,,,,,,,,,,,,
19 February,Anantapur,,,,,,,,,,,,,,,
20 February,Anantapur,,,,,,,,,,,,,,,
21 February,Anantapur,,,,,,,,,,,,,,,
22 February,Anantapur,,,,,,,,,,,,,,,
23 February,Anantapur,,,,,,,,,,,,,,,
24 February,Anantapur,,,,,,,,,,,,,,,
25 February,Anantapur,,,,,,,,,,,,,,,
26 February,Anantapur,,,,,,,,,,,,,,,
27 February,Anantapur,,,,,,,,,,,,,,,
28 February,Anantapur,,,,,,,,,,,,,,,
29 February,Anantapur,,,,,,,,,,,,,,,
01 March,Anantapur,,,,,,,,,,,,,,,
02 March,Anantapur,,,,,,,,,,,,,,,
03 March,Anantapur,,,,,,,,,,,,,,,
04 March,Anantapur,,,,,,,,,,,,,,,
05 March,Anantapur,,,,,,,,,,,,,,,
06 March,Anantapur,,,,,,,,,,,,,,,
07 March,Anantapur,,,,,,,,,,,,,,,
08 March,Anantapur,,,,,,,,,,,,,,,
09 March,Anantapur,,,,,,,,,,,,,,,
10 March,Anantapur,,,,,,,,,,,,,,,
11 March,Anantapur,,,,,,,,,,,,,,,
12 March,Anantapur,,,,,,,,,,,,,,,
13 March,Anantapur,,,,,,,,,,,,,,,
14 March,Anantapur,,,,,,,,,,,,,,,
15 March,Anantapur,,,,,,,,,,,,,,,
16 March,Anantapur,,,,,,,,,,,,,,,
17 March,Anantapur,,,,,,,,,,,,,,,
18 March,Anantapur,,,,,,,,,,,,,,,
19 March,Anantapur,,,,,,,,,,,,,,,
20 March,Anantapur,,,,,,,,,,,,,,,
21 March,Anantapur,,,,,,,,,,,,,,,
22 March,Anantapur,,,,,,,,,,,,,,,
23 March,Anantapur,,,,,,,,,,,,,,,
24 March,Anantapur,,,,,,,,,,,,,,,
25 March,Anantapur,,,,,,,,,,,,,,,
26 March,Anantapur,,,,,,,,,,,,,,,
27 March,Anantapur,,,,,,,,,,,,,,,
28 March,Anantapur,,,,,,,,,,,,,,,
29 March,Anantapur,,,,,,,,,,,,,,,
30 March,Anantapur,,,,,,,,,,,,,,,
31 March,Anantapur,,,,,,,,,,,,,,,
01 April,Anantapur,,,,,,,,,,,,,,,
02 April,Anantapur,,,,,,,,,,,,,,,
03 April,Anantapur,,,,,,,,,,,,,,,
04 April,Anantapur,,,,,,,,,,,,,,,
05 April,Anantapur,,,,,,,,,,,,,,,
06 April,Anantapur,,,,,,,,,,,,,,,
07 April,Anantapur,,,,,,,,,,,,,,,
08 April,Anantapur,,,,,,,,,,,,,,,
09 April,Anantapur,,,,,,,,,,,,,,,
10 April,Anantapur,,,,,,,,,,,,,,,
11 April,Anantapur,,,,,,,,,,,,,,,
12 April,Anantapur,,,,,,,,,,,,,,,
13 April,Anantapur,,,,,,,,,,,,,,,
14 April,Anantapur,,,,,,,,,,,,,,,
15 April,Anantapur,,,,,,,,,,,,,,,
16 April,Anantapur,,,,,,,,,,,,,,,
17 April,Anantapur,,,,,,,,,,,,,,,
18 April,Anantapur,,,,,,,,,,,,,,,
19 April,Anantapur,,,,,,,,,,,,,,,
20 April,Anantapur,,,,,,,,,,,,,,,
21 April,Anantapur,,,,,,,,,,,,,,,
22 April,Anantapur,,,,,,,,,,,,,,,
