"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,2.52260623640307,1.9791732480658,0.19854353958552,0.316983996895336,1.09604268789198,2.00249270694811,3.42467056837747,6.33997396979676,7.67915542680836
"2",3,10,2.53505917697603,1.96740397801757,0.221355117957742,0.315350391455262,1.10290034762618,2.07228123978984,3.4862809854149,6.26538714544027,7.63990501656997
"3",4,11,2.63270513168951,2.03110751641358,0.241519052240645,0.357919645486131,1.11967434908689,2.14781809404142,3.612752771073,6.57132148439887,7.89206550717232
"4",5,12,2.67403880127805,2.13177388031621,0.230001596545706,0.369791398559227,1.16919712564034,2.12984324514154,3.6091074779959,6.61827208470977,8.07091249500535
"5",6,13,2.61749397054694,2.00217180570824,0.24576457562961,0.374514475480111,1.1278485248125,2.11814586036639,3.53107641336531,6.51073261957818,7.63720553060472
"6",7,14,2.60736129572686,2.02762126713126,0.233264742297594,0.34410116766771,1.10161921065969,2.10889007555571,3.54062846433994,6.60590083243742,7.85238054643111
"7",8,15,2.67232716055429,2.086592826755,0.212855280045157,0.360123036130369,1.12624281186622,2.14133771133059,3.6569327349004,6.9050732469197,7.99895370683834
"8",9,16,2.6011166441197,1.9531005695958,0.25894865202434,0.403047458528123,1.17012825417976,2.10266021998937,3.56146571319663,6.32668891428182,7.6261964650601
"9",10,17,2.57634250086441,1.94053582902004,0.251421504272207,0.369842148847223,1.12179784383582,2.12703082967987,3.51404802241661,6.32149254687696,7.72007304794818
"10",11,18,2.55343139787166,1.92076543346738,0.236310738703299,0.36479193096427,1.17711366591632,2.07630455324802,3.4545644590635,6.34892266997474,7.48163014123245
"11",12,19,2.62763102613557,2.06066810561461,0.248291238518253,0.389790925974233,1.16521204749651,2.11531210013604,3.56532320917704,6.62599584756426,7.79164508405464
"12",13,20,2.59739260515479,1.98016336590281,0.235466217419438,0.385117505023804,1.13347635540106,2.11328685064062,3.56833787149348,6.53084434802643,7.6149237408422
"13",14,21,2.63270160221758,2.00792961110822,0.217550721210425,0.359529309573962,1.18651309969978,2.15850838849917,3.51770124643366,6.56242157592637,7.66320786374863
"14",15,22,2.64404137371939,2.06860878045183,0.253724760859683,0.390704373665447,1.12876575528328,2.10527248963174,3.6252146013971,6.65545499325834,8.23983817382727
"15",16,23,2.58454921333799,2.00157655752158,0.244170085918226,0.362241465660354,1.07308860444155,2.09529607267807,3.59297380520091,6.3883880401173,7.63280525656024
"16",17,24,2.60776773904646,1.97707453010286,0.243760252449318,0.38847940310006,1.15522400998674,2.12525017086301,3.53799751940494,6.45530356948622,7.41071479982484
"17",18,25,2.58988406607454,2.00316959152579,0.242819647097268,0.373293299763328,1.12322484010689,2.12796655878873,3.53146499982246,6.4136423019095,7.87944881256955
