dates,state,rt_point,rt_sd,rt_l95,rt_u95,rt_l50,rt_u50,cases_mean,cases_sd,cases_dates
10 March,India,1.764892210971908,0.20658695240979566,1.359990047726805,2.169794374217011,1.625551377441025,1.904233044502791,3.0,1.2649110640673518,03-04-2020
11 March,India,1.6376806034647569,0.17970472743217783,1.2854665258867857,1.989894681042728,1.5164715618590272,1.7588896450704865,5.2,1.661324772583615,03-05-2020
12 March,India,1.602420794611222,0.16341071664123966,1.282142326423058,1.9226992627993862,1.4922019003438725,1.7126396888785718,6.6,1.9078784028338915,03-06-2020
13 March,India,1.596836877883385,0.15149788684263535,1.2999070795872933,1.8937666761794767,1.494653068186896,1.6990206875798741,10.2,1.3266499161421599,03-07-2020
14 March,India,1.657314816466417,0.1438767810172062,1.3753220807439337,1.9393075521889005,1.5602713664381216,1.7543582664947126,11.0,3.1304951684997055,03-08-2020
15 March,India,1.75537860334441,0.13835979717491387,1.484198935273466,2.0265582714153543,1.6620563037479024,1.8487009029409178,10.2,2.7856776554368237,03-09-2020
16 March,India,1.8522418602427169,0.1326785145098678,1.5921972789439565,2.1122864415414773,1.762751528990956,1.9417321914944776,10.1,3.9102429592034307,03-10-2020
17 March,India,1.866249521822203,0.12451347257323833,1.622208096117559,2.110290947526847,1.7822664297062796,1.9502326139381265,12.8,3.6,03-11-2020
18 March,India,1.781495906671235,0.11191839919844136,1.5621403209782578,2.000851492364212,1.7060080655958783,1.8569837477465918,14.0,4.024922359499621,03-12-2020
19 March,India,1.7259711363194392,0.10046107505309823,1.5290714476583689,1.9228708249805095,1.658211145806875,1.7937311268320035,15.3,3.63455636907725,03-13-2020
20 March,India,1.678298124963123,0.09099677012802576,1.4999480953829978,1.8566481545432483,1.616921713479471,1.7396745364467752,19.8,5.6178287620752565,03-14-2020
21 March,India,1.602449650602796,0.08179732976965398,1.442130156147465,1.762769145058127,1.5472781696464621,1.65762113155913,26.8,3.8418745424597094,03-15-2020
22 March,India,1.554968171013734,0.07395721107388921,1.410014995597354,1.699921346430114,1.5050847717165063,1.6048515703109616,36.3,5.496362433464518,03-16-2020
23 March,India,1.54407818136929,0.06859931255924298,1.4096262727256763,1.6785300900129039,1.4978086310412062,1.590347731697374,48.3,5.745432968889291,03-17-2020
24 March,India,1.5362567058945218,0.06449414680040161,1.4098507579316066,1.662662653857437,1.492756048819119,1.5797573629699246,64.3,8.854942122905152,03-18-2020
25 March,India,1.541914870574849,0.06138498182952302,1.4216027615882572,1.662226979561441,1.500511314180654,1.5833184269690441,76.3,6.753517601961218,03-19-2020
26 March,India,1.602314120795845,0.06035324593287238,1.4840241728972523,1.7206040686944375,1.5616064599465818,1.643021781645108,76.0,9.121403400793104,03-20-2020
27 March,India,1.685878129697017,0.06177872603338331,1.5647942978206268,1.806961961573407,1.6442089967747602,1.7275472626192736,84.9,5.629387178015028,03-21-2020
28 March,India,1.7394780081951702,0.06393969274930056,1.614158767994251,1.8647972483960893,1.6963513248326945,1.782604691557646,96.5,8.523496934944014,03-22-2020
29 March,India,1.737324379577067,0.06421691134954619,1.6114618020084104,1.8631869571457236,1.6940107150409116,1.7806380441132224,98.3,11.234322409473569,03-23-2020
30 March,India,1.704388888140862,0.06186908552748532,1.5831279552704118,1.8256498210113121,1.6626588086434284,1.7461189676382955,114.5,10.27861858422619,03-24-2020
31 March,India,1.6405167190322651,0.05757065603707687,1.5276805360258359,1.7533529020386944,1.6016858872418172,1.6793475508227131,144.5,17.73273808524786,03-25-2020
01 April,India,1.5694074254421069,0.05189022399846762,1.4677046620140703,1.6711101888701434,1.5344079882573805,1.6044068626268333,175.0,17.69180601295413,03-26-2020
02 April,India,1.4938153929553493,0.04581388319894706,1.404022014440741,1.5836087714699576,1.4629143868764916,1.524716399034207,211.5,22.544400635190993,03-27-2020
03 April,India,1.432135868564681,0.04018972268075759,1.3533656196993034,1.5109061174300586,1.405028302513737,1.4592434346156251,276.4,27.192646064699186,03-28-2020
04 April,India,1.3888264618957422,0.03555961774158598,1.3191310335069433,1.4585218902845412,1.36484185532522,1.4128110684662645,371.6,32.47214190656354,03-29-2020
05 April,India,1.3544169284415193,0.0320931709663047,1.2915155970744008,1.4173182598086378,1.3327704055564564,1.3760634513265821,459.7,27.62263564542674,03-30-2020
06 April,India,1.3286148887585942,0.029312740415589608,1.2711630900536552,1.3860666874635332,1.3088437384756832,1.3483860390415052,509.5,26.844925032489847,03-31-2020
07 April,India,1.3043583765524658,0.02707569315357916,1.2512911009991767,1.3574256521057548,1.2860960922773081,1.3226206608276234,558.9,25.734995628521098,04-01-2020
08 April,India,1.2932179092117408,0.025276841907671703,1.2436763101463806,1.342759508277101,1.2761689321134353,1.3102668863100464,581.9,19.932134858062746,04-02-2020
09 April,India,1.287567554547142,0.024082889922552506,1.2403660536145358,1.334769055479748,1.2713238861232794,1.3038112229710044,591.4,15.001333274079341,04-03-2020
10 April,India,1.2871009863765361,0.023296321367812744,1.2414411283484779,1.3327608444045944,1.27138785057716,1.3028141221759122,579.7,15.830666442067436,04-04-2020
11 April,India,1.2677988644202451,0.02252881488924241,1.2236432883899255,1.3119544404505648,1.2526034040656,1.2829943247748903,618.0,19.421637418096342,04-05-2020
12 April,India,1.2444262869916238,0.02121385776337493,1.2028479743297196,1.286004599653528,1.2301177520688051,1.2587348219144425,715.9,46.89019087186573,04-06-2020
13 April,India,1.229138503189029,0.019868934710479062,1.1901961859138783,1.2680808204641796,1.2157371054161579,1.2425399009619,802.1,36.250379308360344,04-07-2020
14 April,India,1.229333200055647,0.018933469647850837,1.1922243568846451,1.2664420432266488,1.216562764112868,1.2421036359984259,861.2,20.45385049324454,04-08-2020
15 April,India,1.231766566073491,0.01854223984927791,1.1954245176585003,1.2681086144884819,1.2192600107175517,1.2442731214294305,905.5,23.508509097771384,04-09-2020
16 April,India,1.2182844775665171,0.01811655394421564,1.1827767564980123,1.253792198635022,1.206065043096683,1.2305039120363512,973.6,34.78850384825424,04-10-2020
17 April,India,1.204741880478385,0.017325959315957585,1.1707836932574807,1.2387000676992892,1.1930556941793646,1.2164280667774052,1023.9,14.173566946961516,04-11-2020
18 April,India,1.194488359021445,0.01650834418752255,1.1621326647476684,1.2268440532952216,1.1833536459504028,1.2056230720924872,1067.4,26.219077024182216,04-12-2020
19 April,India,1.192814170605982,0.015881664639450614,1.1616867431792444,1.2239415980327197,1.182102146623319,1.203526194588645,1039.4,29.278661171576818,04-13-2020
20 April,India,1.1909310484451843,0.015521405094851797,1.1605097153154786,1.22135238157489,1.1804620159227577,1.2014000809676109,1089.7,38.41106611381674,04-14-2020
21 April,India,1.181851540113819,0.015134346907769337,1.1521888255484674,1.2115142546791706,1.1716435744679976,1.1920595057596404,1187.5,45.546130461324594,04-15-2020
22 April,India,1.1669588477990591,0.014531553116188594,1.138477584953454,1.1954401106446642,1.157157460537721,1.1767602350603972,1338.1,39.20828993975636,04-16-2020
23 April,India,1.1497079340302492,0.013741094447170607,1.1227759385575726,1.1766399295029257,1.1404397032365772,1.1589761648239212,1437.7,21.65202069091936,04-17-2020
24 April,India,1.147631456109867,0.013003085953368606,1.1221459277647028,1.1731169844550313,1.1388610046651795,1.1564019075545546,1429.3,28.872305069044973,04-18-2020
25 April,India,1.151954219053251,0.012722007973067488,1.1270195923063577,1.1768888458001443,1.1433733518954967,1.1605350862110053,1458.4,23.440136518373773,04-19-2020
26 April,India,1.1640991346986032,0.012714969708212261,1.1391783026692954,1.1890199667279109,1.155523014780111,1.1726752546170953,1505.7,34.275501455120974,04-20-2020
27 April,India,1.1918641749274048,0.013135637972574133,1.1661188499266784,1.2176094999281313,1.1830043184712833,1.2007240313835263,1544.6,48.22074242481134,04-21-2020
28 April,India,1.221823122530453,0.014200953085874258,1.193989822520263,1.249656422540643,1.2122447216835617,1.2314015233773443,1619.1,32.13549439482766,04-22-2020
29 April,India,1.249283551431306,0.01556427444001387,1.2187781960998565,1.2797889067627557,1.238785603964261,1.2597814988983511,1668.5,29.47286887970019,04-23-2020
30 April,India,1.265310203369908,0.016934878950150896,1.2321185180227703,1.2985018887170456,1.2538877968668207,1.2767326098729952,1742.8,31.98374587192688,04-24-2020
01 May,India,1.2710236129051682,0.01785991002579427,1.2360189036510125,1.3060283221593239,1.25897728219187,1.2830699436184663,1768.4,48.67894822199839,04-25-2020
02 May,India,1.265014812651817,0.018167680696307413,1.2294068851942823,1.3006227401093517,1.2527608936989647,1.2772687316046694,1870.8,53.122123451533824,04-26-2020
03 May,India,1.254138745480795,0.017863499612272453,1.2191270007807256,1.2891504901808646,1.2420899936273133,1.2661874973342768,1995.5,97.52256149220035,04-27-2020
04 May,India,1.235458267980538,0.01712875707878237,1.2018865892564077,1.2690299467046682,1.22390509261847,1.2470114433426058,2194.7,82.9349745282411,04-28-2020
05 May,India,1.2098565465695421,0.015921475163263032,1.1786510921085531,1.241062001030531,1.1991176707866729,1.2205954223524114,2537.9,128.9266845924458,04-29-2020
06 May,India,1.189594116256234,0.01447656200683266,1.1612206337853224,1.2179675987271457,1.1798298199482455,1.1993584125642225,2857.1,74.23671598340003,04-30-2020
07 May,India,1.163494184020415,0.013104278655482146,1.137810322026816,1.1891780460140138,1.1546554791100787,1.1723328889307512,3129.1,70.60375344130084,05-01-2020
08 May,India,1.139246796076883,0.01162925163220159,1.1164539280478332,1.162039664105933,1.1314029821434795,1.1470906100102867,3298.7,39.15367160305659,05-02-2020
09 May,India,1.126122263359089,0.010366633946622824,1.1058040754890661,1.146440451229112,1.1191300724284314,1.1331144542897467,3362.2,51.61743891360748,05-03-2020
10 May,India,1.124088499384623,0.009576640831280323,1.105318666420947,1.142858332348299,1.1176291509103327,1.1305478478589133,3392.8,54.17157926440764,05-04-2020
11 May,India,1.1268159965197502,0.009246043150174318,1.1086941217871344,1.144937871252366,1.1205796328753892,1.1330523601641111,3456.1,70.02920819201084,05-05-2020
12 May,India,1.139925391411457,0.009229970197121459,1.121835019023907,1.1580157637990072,1.1336998688132007,1.1461509140097135,3479.5,60.9659741167153,05-06-2020
13 May,India,1.153637860147573,0.009624599367583177,1.1347740303710847,1.1725016899240612,1.1471461641201317,1.1601295561750142,3562.8,68.65974075103983,05-07-2020
14 May,India,1.1597405638638558,0.01012424345840996,1.1398974516551106,1.179583676072601,1.1529118628935928,1.1665692648341188,3807.1,35.708402372550914,05-08-2020
15 May,India,1.1740881355210608,0.010528728886347573,1.153452248052975,1.1947240229891467,1.1669866131745084,1.1811896578676133,3792.8,46.89520231324308,05-09-2020
16 May,India,1.190147889645362,0.011243606080061523,1.1681108714726844,1.2121849078180393,1.182564189780421,1.1977315895103027,3788.2,62.7531672507452,05-10-2020
17 May,India,1.1969313447159151,0.012010802132746223,1.1733906529678177,1.2204720364640125,1.1888301787853992,1.205032510646431,3932.0,69.11873841441263,05-11-2020
18 May,India,1.198633408879055,0.012439343785450864,1.1742527926333226,1.2230140251247872,1.1902431958892061,1.2070236218689037,4179.1,118.26026382517502,05-12-2020
19 May,India,1.192976828675476,0.012559652896279408,1.1683604113848842,1.2175932459660679,1.1845054683934646,1.2014481889574875,4420.1,80.32241281236513,05-13-2020
20 May,India,1.1805798743647533,0.012247459515438269,1.156575343612875,1.2045844051166317,1.1723190853961853,1.1888406633333213,4833.4,170.94981719791338,05-14-2020
21 May,India,1.162192327808236,0.011555689620679772,1.1395436383792885,1.1848410172371835,1.1543981307159836,1.1699865249004884,5160.5,78.92179673575609,05-15-2020
22 May,India,1.148328468281858,0.010597264553408625,1.1275582536477593,1.1690986829159566,1.1411807193132293,1.1554762172504867,5417.7,145.34101279404928,05-16-2020
23 May,India,1.139938217587313,0.009784738741126345,1.120760521044255,1.1591159141303709,1.1333385091538106,1.1465379260208153,5803.7,146.94288005888546,05-17-2020
24 May,India,1.1363724241582458,0.009221134285175027,1.1182993698046741,1.1544454785118174,1.1301528612942382,1.1425919870222534,6137.0,59.23343650338042,05-18-2020
25 May,India,1.135710154188664,0.008894710005498055,1.1182768783662882,1.15314343001104,1.1297107612370556,1.1417095471402725,6300.1,93.82798090122157,05-19-2020
26 May,India,1.135238492749382,0.008726354980132422,1.1181351860425215,1.1523417994562424,1.1293526535788325,1.1411243319199313,6560.9,91.7991830029004,05-20-2020
27 May,India,1.1332738605646262,0.008611525936382713,1.1163956141903535,1.150152106938899,1.1274654724357955,1.1390822486934569,6635.9,82.26840219671219,05-21-2020
28 May,India,1.131600956451453,0.008464180224633818,1.1150115017783797,1.1481904111245265,1.1258919515317398,1.1373099613711664,6756.7,54.67183918618433,05-22-2020
29 May,India,1.136355909797793,0.008375709446183169,1.1199398543116519,1.1527719652839343,1.130706577533437,1.1420052420621492,6674.3,41.627034484815276,05-23-2020
30 May,India,1.143610486508345,0.00854337084795891,1.1268658213811795,1.1603551516355104,1.137848068305105,1.1493729047115848,6853.2,170.29433343479167,05-24-2020
31 May,India,1.143160790927823,0.008795552213893283,1.1259218604106807,1.1603997214449653,1.137228278915074,1.1490933029405719,7307.1,175.0322541704814,05-25-2020
01 June,India,1.134404043706357,0.008760918089734521,1.1172329946872008,1.151575092725513,1.1284948920640119,1.140313195348702,7804.4,112.85495115412527,05-26-2020
02 June,India,1.1258572516624479,0.008390838504726572,1.109411543826724,1.1423029594981717,1.120197714999395,1.1315167883255008,8141.6,146.18358320960667,05-27-2020
03 June,India,1.116328629386083,0.007942923267130262,1.1007608174994383,1.1318964412727277,1.1109712070716364,1.1216860517005296,8496.4,91.89798692028025,05-28-2020
04 June,India,1.105875989383965,0.007427490225328334,1.0913184056419305,1.1204335731259993,1.1008662215018832,1.1108857572660467,8573.5,82.86283847419179,05-29-2020
05 June,India,1.100127888712958,0.006906426959139088,1.0865915681301237,1.1136642092957922,1.0954695727932882,1.1047862046326278,8747.6,150.8477378020632,05-30-2020
06 June,India,1.0996135008239212,0.006560966136930751,1.0867542696341823,1.11247273201366,1.0951881947742228,1.1040388068736195,9074.1,190.9960470795142,05-31-2020
07 June,India,1.09637185183068,0.006407122046250915,1.08381414890491,1.10892955475645,1.0920503120817042,1.1006933915796557,9614.0,63.83729317569785,06-01-2020
