"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,3.45397384333193,1.8853911316874,1.37638362396089,1.45355069133607,2.25946806817888,3.06702396762099,4.1242920359581,6.32824960021535,10.050505852714
"2",3,10,3.1947077299038,1.93961432202994,1.26540411354087,1.35375653750459,2.06176219218945,2.70641997331118,3.59584150607538,7.68427565408307,9.63989667742889
"3",4,11,4.32503023242399,3.64373314982871,1.43747880808879,1.53869338088714,2.21945485279196,2.93359118247051,4.06510429715702,13.2972032709005,15.6090588535923
"4",5,12,4.27581980528289,3.08577410489206,1.49450105860827,1.55629852554331,2.38870098820095,3.06825222875343,4.23894360156601,11.620582213474,12.7620804380045
"5",6,13,3.96011597894269,2.48616621322725,1.44330666618161,1.53114051732123,2.39186091628372,3.0605021472384,4.1482823939762,9.40615609424453,10.2356111820586
"6",7,14,4.21495637119388,2.437355514344,1.58387226203563,1.67563445825851,2.61137268820426,3.38080959769973,4.58391814653647,9.49654163725282,10.3472549359514
"7",8,15,4.06175567793624,2.26589786355432,1.46116204610624,1.53942308958127,2.54539788745115,3.30423623408648,4.54660446936216,8.78275144352909,9.42577908856024
"8",9,16,4.08640745823956,2.254622108146,1.49174748600751,1.56391675909985,2.53344631489633,3.32896194276729,4.6294033599253,8.64143392002504,9.42267920928569
"9",10,17,3.75156072550834,2.0850256677503,1.36158284016096,1.42093546561835,2.3067824835641,3.05643367367547,4.30200204679547,8.05570933628225,8.62974053167708
"10",11,18,3.56299805432681,2.00266260923807,1.36505389745709,1.41960639701578,2.1621110599894,2.85582078636946,4.0623116358091,7.74172530815907,8.27316841670426
"11",12,19,3.22265978291958,1.81352870523379,1.29126292375214,1.33305542354783,1.98562967422408,2.55267096385779,3.5804502334573,7.12756352375507,7.5479295576878
"12",13,20,3.07600143802052,1.69369536366153,1.32726143767811,1.37314295606996,1.92522122156935,2.44365307097393,3.33356368468951,6.77572488700353,7.15400667719739
"13",14,21,2.88947994925229,1.51802379357347,1.30523440819544,1.35574148089532,1.88073794238021,2.32042718041352,3.05448031970009,6.23661158375003,6.59071818110395
"14",15,22,2.76194604425103,1.3620304971533,1.30961974079392,1.35205397212514,1.85994743864577,2.26759302111106,2.89791413643636,5.7596872446717,6.01638161786489
"15",16,23,2.74611259435306,1.26235601259224,1.34871175872461,1.39245287035981,1.91499308459973,2.30853617366922,2.89159592301595,5.43269799482335,5.68070969126779
"16",17,24,2.71153898862248,1.16842021982764,1.34357209787613,1.38864244124101,1.93370178977788,2.3353933739204,2.88341591024029,5.08870021535052,5.33014223755028
"17",18,25,2.80224406360178,1.14923016207638,1.3961062255651,1.44792930091251,2.0286630181997,2.45100749524577,3.02389665988794,5.07943057441105,5.36713518071871
"18",19,26,2.94274246188894,1.18536703254847,1.43156279404482,1.48250745551994,2.13286573277222,2.60234002344539,3.20200013087601,5.24420384157362,5.50741497817882
"19",20,27,3.0421671521862,1.23227207951579,1.41914350474903,1.47509132655083,2.20609447985677,2.68721140394345,3.36312269387096,5.36596621288676,5.642591617525
"20",21,28,2.98226784166251,1.24249828211681,1.35470766842854,1.41298818420155,2.11910408166728,2.63294986703148,3.34793696140653,5.33677195400593,5.68063740078747
"21",22,29,2.87954135617564,1.23255471428663,1.31888710228741,1.34968337284155,2.00804072015707,2.50909283148715,3.2791700396122,5.25494563080174,5.52633292617727
"22",23,30,2.72371818267653,1.19188417645696,1.2786153555895,1.31836789911505,1.87628701978966,2.34690249558244,3.08478241964003,5.08468520206374,5.26546811008958
"23",24,31,2.53720682890897,1.116047133648,1.24197742946718,1.26934383975955,1.7541980614785,2.16572385794758,2.82115487506168,4.80061006141337,5.02592689659527
"24",25,32,2.36341639624985,1.02240408273852,1.22290329673286,1.24926078540501,1.6535994316162,2.00839573522573,2.54974534437415,4.49871040864646,4.66831233273552
"25",26,33,2.1736597929441,0.900344692242922,1.18836425862902,1.21362431075872,1.56557034107388,1.85344703483103,2.28279718237794,4.08848742773958,4.19954209373693
