"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,2.52507880452901,1.9231572684289,0.230275346052259,0.364253645854539,1.07373442263367,2.04331537719443,3.47442332059102,6.09407574364894,7.30939906255503
"2",3,10,2.64755761236096,1.95338802927504,0.239362790584469,0.402859885817072,1.17509236812995,2.18553102783433,3.65563596266661,6.4472576380347,7.50160641955035
"3",4,11,2.54569291281265,1.91095832706215,0.248715994655786,0.402156206698225,1.12680621154287,2.06968527488096,3.42489576168292,6.43865403783386,7.50617447723922
"4",5,12,2.57716450097242,1.95764189783332,0.262593995041073,0.397142682343556,1.1296886862472,2.09218397762336,3.50141308177869,6.50786999423917,7.65219407047704
"5",6,13,2.57683826488163,1.99839728206778,0.238558446627858,0.367839988162803,1.09366265667117,2.05328798009561,3.4951030265837,6.64135673831207,7.80373990619124
"6",7,14,2.59566786977579,2.02518728157359,0.231962064790428,0.343549028357462,1.14033599717636,2.06089344801204,3.56564652082634,6.454538349763,7.8096537734318
"7",8,15,2.58220943581155,2.01669629213403,0.245734204377333,0.362617778209134,1.09545559728349,2.07034819254681,3.49423399484263,6.53022736152891,7.78855486715937
"8",9,16,2.62019561907278,2.05775203922108,0.24942914210233,0.361503254311835,1.11170902097869,2.10495583325055,3.55947041921125,6.76499115534384,8.05097690502824
"9",10,17,2.50958423397301,1.94779605660515,0.246109776102999,0.361975071189309,1.09321231195261,2.03347869738442,3.3987355509866,6.2391574189663,7.58621194398311
"10",11,18,2.57265238045527,1.96438630469179,0.249007828979605,0.371587155681577,1.12378533840709,2.10460166142553,3.49453762499875,6.23824831610961,7.68138984017827
"11",12,19,2.58100727277038,2.03768311023305,0.233329389886979,0.370350773264356,1.11690992663718,2.03898816606836,3.4616610184266,6.63054626909251,7.9551367260629
"12",13,20,2.62314893422099,2.03457655450068,0.258750433635326,0.396836801012646,1.1489382335974,2.09450297951846,3.50414394635638,6.72313025799211,8.04115646738389
"13",14,21,2.61018253299071,2.00610065968898,0.224510318909299,0.343170942419844,1.12595149744114,2.13670068231917,3.5647481244363,6.62722813300196,7.59177582023775
"14",15,22,2.61955555379031,2.03456276559789,0.220777713932985,0.351970266598377,1.11653692118157,2.1135490873127,3.6024213919797,6.63384786079742,7.8506378825084
"15",16,23,2.58494499463247,2.02356482857699,0.232744307379673,0.338685156211895,1.14961251463672,2.08149462107119,3.53339193501421,6.53319160461356,7.93112498979084
"16",17,24,2.60411948156774,2.06589063802009,0.231563693350487,0.36143370341781,1.1167233393532,2.08383382170201,3.54337227589225,6.72026771190415,7.76332607121055
"17",18,25,2.57500122905957,2.02251479880899,0.222034570553651,0.360262615965956,1.08945663743372,2.05096422524841,3.53750028399241,6.42109462585404,7.81293047175967
"18",19,26,2.66031123175752,1.98844681488635,0.239911138901649,0.36166766880887,1.20110803449624,2.2085499157852,3.60835540385581,6.59239735754819,7.72767786232783
"19",20,27,2.63059235190628,2.04690989506373,0.211865763072056,0.337145207067681,1.15115004709294,2.14386636151186,3.51181686828859,6.69432173599135,7.95145355038197
"20",21,28,2.62607900239708,1.98969779743578,0.269475192796473,0.406462624473882,1.18254116563833,2.13324193204368,3.51273684348541,6.51655813395192,7.96681624107126
"21",22,29,2.61292080874847,1.97908929192023,0.250199824161034,0.372214799185659,1.15005264097361,2.12731192359878,3.5737030576942,6.57098437128339,7.6791289040693
"22",23,30,2.60691340503327,1.94158834943987,0.270163854550683,0.374887874109834,1.1562160869569,2.13849965637743,3.57221499540172,6.49486869047402,7.6233754646937
"23",24,31,2.57282372507347,1.95351152497581,0.237654705635363,0.365257200653909,1.15354796585059,2.1007909100777,3.46787567852012,6.30953651614852,7.42619317147942
"24",25,32,2.59528023186012,2.01168246708359,0.253491117224752,0.362141537659518,1.15756325763192,2.08654927877905,3.51300275466942,6.5247011545031,7.79912434701543
"25",26,33,2.56142399275825,2.0320708273406,0.223920391143599,0.35498313259186,1.10292454617544,2.07273966017037,3.4620956782712,6.55280446809563,7.55246354085879
"26",27,34,2.60870702992914,2.10229062602964,0.210014690582323,0.349370297481392,1.12217016001511,2.06841428220778,3.52854945117101,6.72393030564905,8.23801958822973
"27",28,35,2.62698952764331,2.04496195989518,0.255904444203247,0.372806406485711,1.12412240852211,2.14861073991153,3.58453109862095,6.51754350696456,7.99177598086111
"28",29,36,2.62539723199623,1.97487563336262,0.260407599005969,0.389501011919884,1.19717959614251,2.15392886942118,3.63327749386803,6.37395915549655,7.60167565990973
"29",30,37,2.60730747980162,2.00660346006561,0.225046173206577,0.386343017186166,1.14028560910371,2.1221919700635,3.49636428196488,6.57099041147345,7.87151711388783
"30",31,38,2.58138856734236,2.01390023897325,0.22069779359012,0.357151801008042,1.10435486504812,2.05028028127443,3.60705981121224,6.48819171336141,7.71107479048229
"31",32,39,2.64848997821512,2.06157582378313,0.221656740794347,0.349379007395475,1.11160023832795,2.14055797217178,3.5960775321814,6.82362281778815,8.03011628391417
"32",33,40,2.63306703601318,2.00030620184642,0.242346668488488,0.371799059451209,1.1607480090233,2.16379857405061,3.59150834722626,6.62122637687707,7.77895904764198
"33",34,41,2.55899247190307,1.97054436154065,0.213058232288583,0.342247186275917,1.1104746134871,2.09781082026057,3.4879224903047,6.41513208573587,7.48552022621012
"34",35,42,2.65536727851014,2.00006494763834,0.260438289834155,0.403324655684417,1.17860214309133,2.16956000934379,3.60389914212372,6.66311026843583,7.73762323389697
