state,dates,cfr1_point,cfr2_point,cfr3_point,cfr3_l95,cfr3_u95,cfr3_l50,cfr3_u50
Ahmedabad,01 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,02 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,03 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,04 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,05 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,06 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,07 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,08 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,09 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,10 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,11 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,12 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,13 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,14 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,15 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,16 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,17 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,18 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,19 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,20 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,21 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,22 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,23 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,24 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,25 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,26 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,27 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,28 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,29 February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,01 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,02 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,03 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,04 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,05 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,06 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,07 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,08 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,09 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,10 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,11 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,12 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,13 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,14 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,15 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,16 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,17 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,18 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,19 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,20 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,21 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,22 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,23 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,24 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,25 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,26 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,27 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,28 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,29 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,30 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,31 March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,01 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,02 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,03 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,04 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,05 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,06 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,07 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,08 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,09 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,10 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,11 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,12 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmedabad,13 April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
