state,dates,cum_positive_cases,cum_positivity_rate,daily_positive_cases,cum_recovered,daily_recovered,cum_deceased,daily_deceased,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tests,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma,cfr1_point,cfr2_point,cfr3_point,cfr3_l95,cfr3_u95,cfr3_l50,cfr3_u50,dbt_point,dbt_l95,dbt_u95,rt_point,rt_sd,rt_l95,rt_u95,rt_l50,rt_u50,t_end
Ahmedabad,2020-01-30,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.62584570007398,2.00055085332156,0.248062049862932,7.893641961692969,6.66264448812305,6.66264448812305,10.0
Ahmedabad,2020-01-31,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.57515329832905,1.99784177012158,0.24310945595388897,7.76109315863142,6.46297651322312,6.46297651322312,11.0
Ahmedabad,2020-02-01,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.59690680336009,2.00602529757691,0.24612735044051004,7.7754208494928,6.53280909112774,6.53280909112774,12.0
Ahmedabad,2020-02-02,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.61215714611713,1.9830373137833703,0.23000503869142896,7.66771009660959,6.4888676195763395,6.4888676195763395,13.0
Ahmedabad,2020-02-03,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.59461194646445,2.0082759495179903,0.23360286590020898,7.68663314261492,6.44500835334708,6.44500835334708,14.0
Ahmedabad,2020-02-04,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.6303611497394104,1.99484110212202,0.260358210092008,7.763505760130339,6.5330082819005,6.5330082819005,15.0
Ahmedabad,2020-02-05,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.61811166050932,1.98688900158988,0.24908904460845702,7.671575226463469,6.41611657784593,6.41611657784593,16.0
Ahmedabad,2020-02-06,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.5984469206360696,1.9994999139574199,0.240877964308702,7.7010769796303,6.53351120980067,6.53351120980067,17.0
Ahmedabad,2020-02-07,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.62343733701353,1.99693332915324,0.223205388544323,7.65538291481886,6.5816494070747105,6.5816494070747105,18.0
Ahmedabad,2020-02-08,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.5532755172366097,1.97989765076327,0.24090984221859302,7.675926197804349,6.4136194873831105,6.4136194873831105,19.0
