"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,2.5838273916742,2.01695898062945,0.231871467264757,0.360115234951392,6.48432843106591,2.06689657005189,6.48432843106591,6.48432843106591,7.68604633719771
"2",3,10,2.60924732528856,1.987191076036,0.246659460801902,0.378364879978874,6.48657365311102,2.12869760192088,6.48657365311102,6.48657365311102,7.77982896673796
"3",4,11,2.58895472364954,1.98587403842195,0.242416850173732,0.378814558959621,6.4785027313198,2.08769915347985,6.4785027313198,6.4785027313198,7.64392670702866
"4",5,12,2.63720346516331,2.00675037863927,0.245795217081178,0.37819936543963,6.66755112588454,2.15682183967865,6.66755112588454,6.66755112588454,7.71549570873755
"5",6,13,2.63530961611521,1.99048905723377,0.24292330325482,0.384269148365738,6.52733475567287,2.14144543700997,6.52733475567287,6.52733475567287,7.78221352061143
"6",7,14,2.61467213363621,2.02405490606918,0.233216111280105,0.365050079674288,6.61456927002975,2.12021651486331,6.61456927002975,6.61456927002975,7.87002581117578
"7",8,15,2.59579543210061,2.02421293028916,0.231470368422969,0.363574657782067,6.51915309582867,2.10752021808488,6.51915309582867,6.51915309582867,7.79584556045101
"8",9,16,2.60932033203966,1.99067282964697,0.227377670894121,0.359647282071667,6.56420301258327,2.1264623055459,6.56420301258327,6.56420301258327,7.78545653577175
"9",10,17,2.62398020007263,2.02549607485496,0.241438890163004,0.366521228926534,6.59066442785862,2.13641298511,6.59066442785862,6.59066442785862,7.80021815425436
"10",11,18,2.59752800155761,2.02316669887927,0.234930357223286,0.344695513864723,6.60125004311916,2.10977167974146,6.60125004311916,6.60125004311916,7.84532064131424
"11",12,19,2.59022030136087,1.98722091731921,0.249704428652637,0.37039006823172,6.4712838099688,2.10629936657152,6.4712838099688,6.4712838099688,7.84247877779941
"12",13,20,2.62929207217909,2.00847199466349,0.250477405244612,0.386451180819588,6.66460414041925,2.13775105447401,6.66460414041925,6.66460414041925,7.74873645638862
"13",14,21,2.62198400844923,2.01388382560147,0.226538633114592,0.364632498329567,6.52412560254513,2.14504216059263,6.52412560254513,6.52412560254513,7.74443569905257
"14",15,22,2.62214275984063,2.03214900016808,0.241973710832508,0.370074692910959,6.64070581236044,2.12310604706976,6.64070581236044,6.64070581236044,7.79492444929102
"15",16,23,2.5753452939042,1.95216710179186,0.235276380252703,0.356728074896327,6.40217000706964,2.10307495321486,6.40217000706964,6.40217000706964,7.50565249385565
"16",17,24,2.56206643122426,1.94027609517485,0.241924587344916,0.367962817109505,6.32904384431654,2.08840299263065,6.32904384431654,6.32904384431654,7.53820100572652
"17",18,25,2.60574275920118,2.00034127395208,0.236071588225194,0.378878020654758,6.51762124430704,2.11347502452197,6.51762124430704,6.51762124430704,7.67634718705979
"18",19,26,2.59684544721261,2.00115593577613,0.23578174986526,0.369956331298785,6.52667315763411,2.09131843241699,6.52667315763411,6.52667315763411,7.68055335858904
"19",20,27,2.58365571983287,1.98455391256531,0.236607974431615,0.370835580214995,6.41233979721327,2.09361169453369,6.41233979721327,6.41233979721327,7.69641901952564
"20",21,28,2.6241840592293,2.03109322062821,0.235551125635388,0.365762021664306,6.58590991095059,2.13047648051718,6.58590991095059,6.58590991095059,7.80906286835697
"21",22,29,2.59612834440239,1.99141840611243,0.231280070979561,0.365644147830293,6.46531950049941,2.1218774971507,6.46531950049941,6.46531950049941,7.64551240268408
"22",23,30,2.59086253309589,2.03150440833288,0.238037198669469,0.374060730197419,6.56054780945711,2.08519480249025,6.56054780945711,6.56054780945711,7.81947073008853
"23",24,31,2.57735633759618,1.96236168965766,0.231378897955134,0.363816968627833,6.40053689916786,2.10642831928334,6.40053689916786,6.40053689916786,7.6005681105663
"24",25,32,2.59118856714582,1.98095648745731,0.233796193631011,0.36466707526148,6.42727052246136,2.09627525397992,6.42727052246136,6.42727052246136,7.63751502702135
"25",26,33,2.59571284667802,1.98418209802819,0.239247916419492,0.365723428348793,6.4994195759071,2.10314541378683,6.4994195759071,6.4994195759071,7.65307473207024
"26",27,34,2.60911161994518,2.01427850062738,0.230052894996308,0.364699786615287,6.5469863046047,2.11774388399639,6.5469863046047,6.5469863046047,7.75051382093195
"27",28,35,2.57439003494799,1.98907213227634,0.215269904708052,0.356073432432345,6.46730260659615,2.08620721588448,6.46730260659615,6.46730260659615,7.68093158986092
"28",29,36,2.57645455869754,1.97060737292687,0.228146493730413,0.36354397341685,6.40132385805584,2.10760191863104,6.40132385805584,6.40132385805584,7.64150827171613
"29",30,37,2.6024478729989,1.98852211701082,0.229035737216555,0.363881443517381,6.56136759899404,2.12814336089259,6.56136759899404,6.56136759899404,7.7744100147447
"30",31,38,2.61553315644267,2.00807551101898,0.236022991526644,0.374056992975522,6.55558379712557,2.11663948871441,6.55558379712557,6.55558379712557,7.80016428329148
"31",32,39,2.57143717864933,1.98948088172673,0.23184356101475,0.360518039871586,6.52128910671558,2.10069074919045,6.52128910671558,6.52128910671558,7.77872516810872
"32",33,40,2.56701650423757,1.95634088234227,0.223703498582254,0.355975554978829,6.41068787922535,2.08862979199176,6.41068787922535,6.41068787922535,7.59533162963313
"33",34,41,2.58636679373455,1.98718145566614,0.231279023838544,0.357930073429289,6.46752055081815,2.09908277581371,6.46752055081815,6.46752055081815,7.63891024685577
"34",35,42,2.58066270546073,1.99662303607967,0.233827474052352,0.36514035774573,6.48704815276767,2.08941544831618,6.48704815276767,6.48704815276767,7.75876837256857
"35",36,43,2.58613381594443,1.97545405369652,0.23213166566881,0.366899052783648,6.42434137010864,2.10315676356508,6.42434137010864,6.42434137010864,7.60954651952619
"36",37,44,2.59530069836328,1.98496422200473,0.225240928430348,0.356974972407539,6.5025728912965,2.12113821390081,6.5025728912965,6.5025728912965,7.61806758886696
"37",38,45,2.62670095237843,2.01781943165427,0.241784759991397,0.370512910275529,6.61133005845552,2.1279760570292,6.61133005845552,6.61133005845552,7.83489702630609
"38",39,46,2.56030164007989,1.98112285213083,0.219711304176097,0.349923853329386,6.52334173618115,2.07446166612445,6.52334173618115,6.52334173618115,7.74208749952035
"39",40,47,2.59993535490415,1.99799675011943,0.236407728462322,0.36743290236928,6.49140101407795,2.10203765590851,6.49140101407795,6.49140101407795,7.63922731273255
"40",41,48,2.57931093908431,1.97958419121506,0.245746301492564,0.369750619413373,6.40560868355074,2.0879393904624,6.40560868355074,6.40560868355074,7.62865982488343
"41",42,49,2.58019944168788,1.9818254521381,0.250371145629563,0.37757996436078,6.53672794541782,2.09102451335916,6.53672794541782,6.53672794541782,7.65915434570463
"42",43,50,2.61662192977345,2.00284243572634,0.232795723316935,0.361614529599733,6.5141643995755,2.15182874810414,6.5141643995755,6.5141643995755,7.69689205138341
"43",44,51,2.60199020741998,2.00281818443249,0.230078194735747,0.358274328434009,6.51945012080899,2.10286394366313,6.51945012080899,6.51945012080899,7.72061578588366
"44",45,52,2.56542031475946,1.9699109098563,0.218055956543299,0.352086041440629,6.40023774729233,2.09635294093441,6.40023774729233,6.40023774729233,7.67295377799837
"45",46,53,2.62364709885021,2.01045079488414,0.235747161611463,0.372619850966707,6.54207480979387,2.12646339540904,6.54207480979387,6.54207480979387,7.80155561599903
"46",47,54,2.59506212250741,1.9796137840838,0.23015260287518,0.349358523628401,6.45986094117237,2.12079119428318,6.45986094117237,6.45986094117237,7.62245641171651
"47",48,55,2.58536272679771,1.9814107512562,0.234206737859198,0.364138452231501,6.4334799240434,2.11004703950816,6.4334799240434,6.4334799240434,7.66527377750234
"48",49,56,2.61641652979714,2.05504948402848,0.225626799913218,0.362188991252373,6.61032630700284,2.10224268880313,6.61032630700284,6.61032630700284,7.91100326230573
"49",50,57,2.61536659936944,2.02380246166422,0.23177981095919,0.358722583998165,6.65100593194815,2.12111693323645,6.65100593194815,6.65100593194815,7.88036225311117
"50",51,58,2.62003792755198,1.99996785729094,0.240468396240903,0.374039773135262,6.53316002712858,2.15370281812812,6.53316002712858,6.53316002712858,7.83126291592172
"51",52,59,2.61646381965491,1.99607201706799,0.234740360305857,0.370195653005566,6.45484310594011,2.12662333170114,6.45484310594011,6.45484310594011,7.72869386102702
"52",53,60,2.58689058220459,1.97947806387126,0.234336878624549,0.356408760051042,6.38926367957684,2.12271839297986,6.38926367957684,6.38926367957684,7.61188609325025
