"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,2.59275103809262,1.9839244356322,0.244808727917726,0.375494044400233,6.40232954722273,2.10724892174653,6.40232954722273,6.40232954722273,7.68792937952998
"2",3,10,2.57528894804341,1.98039865731169,0.242243804579896,0.362554241874009,6.39287941118137,2.08233961977079,6.39287941118137,6.39287941118137,7.65775291759424
"3",4,11,2.61597687585253,2.03608160128448,0.232193248820917,0.353742003114199,6.5914440593722,2.1182251308738,6.5914440593722,6.5914440593722,7.77789769302522
"4",5,12,2.60609457027055,1.98283569539925,0.235500881009378,0.368148121630777,6.46975457425719,2.12856702955833,6.46975457425719,6.46975457425719,7.57972478499583
"5",6,13,2.60602481063342,2.02548130786398,0.23338857334618,0.357693585216776,6.52714980699875,2.09315603003546,6.52714980699875,6.52714980699875,7.75457421131523
"6",7,14,2.5641373038542,1.967814892304,0.236968686697911,0.369766071600111,6.41555164793916,2.07681217641527,6.41555164793916,6.41555164793916,7.65578156951581
"7",8,15,2.57984470381871,1.94441255692447,0.228593955421357,0.362913363332124,6.32043787708123,2.11293765803273,6.32043787708123,6.32043787708123,7.4072239533264
"8",9,16,2.6150331907675,1.99954525904299,0.25151877336862,0.381674364311794,6.54986694631759,2.12645149740798,6.54986694631759,6.54986694631759,7.83265225034723
"9",10,17,2.59881657582304,1.98575098040866,0.23605787622986,0.376401261902585,6.50136029575192,2.12893145967404,6.50136029575192,6.50136029575192,7.73047990141856
"10",11,18,2.62070736682076,2.00013117038269,0.235406990462518,0.358330057651467,6.5352726780013,2.15645269282755,6.5352726780013,6.5352726780013,7.58414564551024
"11",12,19,2.59891591158567,1.96845289999176,0.235820557906111,0.366861306197989,6.43934964521313,2.12370383003603,6.43934964521313,6.43934964521313,7.53681429210443
"12",13,20,2.59088697606315,2.01912290123342,0.246238624887965,0.373279087863725,6.57105971859339,2.07959143464927,6.57105971859339,6.57105971859339,7.78658352328314
"13",14,21,2.62332855899278,2.00673981476096,0.235101255583595,0.360343830953959,6.62659664555081,2.13893502255985,6.62659664555081,6.62659664555081,7.75441596107174
"14",15,22,2.58140790569223,1.98478401788121,0.227063584189036,0.363032670825748,6.47646068047915,2.09639464521913,6.47646068047915,6.47646068047915,7.70898012819372
"15",16,23,2.60527604982031,2.01983367129316,0.236780763040224,0.382065295949652,6.57913693973643,2.10239668557448,6.57913693973643,6.57913693973643,7.77428159199763
"16",17,24,2.62682914654061,2.04577585020623,0.249893718547873,0.375243689147138,6.68009699468711,2.11230601841068,6.68009699468711,6.68009699468711,7.72271988035014
"17",18,25,2.60145823493456,2.00115575873283,0.239641298902109,0.374465163565705,6.55655221796465,2.09391233659809,6.55655221796465,6.55655221796465,7.8237649746693
"18",19,26,2.59112314235744,1.99328504893331,0.229099322232248,0.356313766434862,6.4962527246218,2.10047392081476,6.4962527246218,6.4962527246218,7.71082843462308
"19",20,27,2.60757673930051,1.99434843568631,0.237686658363423,0.374906876408147,6.53349071654313,2.11690719479168,6.53349071654313,6.53349071654313,7.77120089931516
"20",21,28,2.60285381734304,2.02437116929301,0.233236714467859,0.363939414112058,6.58185216526001,2.08760984122373,6.58185216526001,6.58185216526001,7.7578089653047
"21",22,29,2.59394110822487,2.03156604834672,0.223616511017475,0.360975377590707,6.50711262227279,2.08054589981851,6.50711262227279,6.50711262227279,7.82157208884372
"22",23,30,2.59450397522873,2.01171240237436,0.231644753069478,0.361110383688891,6.50854214151562,2.08307641926349,6.50854214151562,6.50854214151562,7.86464901497753
"23",24,31,2.60811924560705,2.01554716310707,0.241839864743129,0.372525203262836,6.47699485362986,2.10751014381389,6.47699485362986,6.47699485362986,7.77928657805937
"24",25,32,2.6209919905765,2.0248437753262,0.229333037535947,0.366526626109058,6.50126895383314,2.12830369340573,6.50126895383314,6.50126895383314,7.81121225563517
"25",26,33,2.61364233208372,2.01541900294488,0.226834548021018,0.362213034357981,6.57033874123656,2.11441238351762,6.57033874123656,6.57033874123656,7.81172774051553
"26",27,34,2.61063803944639,2.0228408772844,0.23824306917618,0.354658957727136,6.55239110297927,2.11211761395423,6.55239110297927,6.55239110297927,7.83503202710714
"27",28,35,2.60761198795714,2.00270298740245,0.253305714434284,0.379859059515846,6.4793452079112,2.11160094598226,6.4793452079112,6.4793452079112,7.7794862662337
"28",29,36,2.61526904272113,2.01630550188443,0.239681434340454,0.369084223246985,6.5113112715129,2.1335390901722,6.5113112715129,6.5113112715129,7.70686789526765
"29",30,37,2.60338276841247,2.00195754556519,0.244676971339257,0.369933121868814,6.58532818740247,2.12072132291258,6.58532818740247,6.58532818740247,7.7638834321122
"30",31,38,2.59900571142609,1.99125495225398,0.219067779689738,0.35486130022697,6.51620295142882,2.10692478467111,6.51620295142882,6.51620295142882,7.73948328371712
"31",32,39,2.61609546737011,1.99497686421335,0.238959819259049,0.363868129785381,6.56643102866339,2.13665064003405,6.56643102866339,6.56643102866339,7.75424839682577
"32",33,40,2.61179068711589,2.00552928496032,0.23839683884558,0.360676035479683,6.54790727129711,2.13237011629287,6.54790727129711,6.54790727129711,7.79639929311945
"33",34,41,2.58898347287231,2.01169387979824,0.230339757010392,0.362448383248101,6.558103077624,2.07808888720762,6.558103077624,6.558103077624,7.72251601955707
"34",35,42,2.60182285405954,1.99899974875826,0.232671558398261,0.360615528062542,6.50214753679035,2.10573943173577,6.50214753679035,6.50214753679035,7.7288956561487
"35",36,43,2.59802231527434,1.99860198862234,0.248195506079055,0.373534754133861,6.53538479406635,2.10896929545844,6.53538479406635,6.53538479406635,7.75618930607064
"36",37,44,2.5844868956982,2.01834339726952,0.240174034162082,0.362740560968626,6.50064426203582,2.08988715626121,6.50064426203582,6.50064426203582,7.7715717128525
"37",38,45,2.62399974007783,2.01103754235277,0.240778793502261,0.378141867795893,6.55111107475184,2.13017695966357,6.55111107475184,6.55111107475184,7.77643005274768
"38",39,46,2.62758103144463,2.01794100064631,0.230642769069871,0.361685383423272,6.54652690552997,2.13644030230233,6.54652690552997,6.54652690552997,7.84085490731158
"39",40,47,2.59745062612726,2.0229737533804,0.222016133584689,0.34986946700405,6.49614735501708,2.08600788168174,6.49614735501708,6.49614735501708,7.84747142820719
"40",41,48,2.57984944400369,1.98920207026486,0.233110947791461,0.36070830747642,6.4672442997502,2.08977790717415,6.4672442997502,6.4672442997502,7.74709764654195
"41",42,49,2.61499251975559,2.04650730185268,0.244816445753481,0.377042447724864,6.5029616670113,2.10046003581423,6.5029616670113,6.5029616670113,7.75959039843582
"42",43,50,2.6064345853106,1.98671108975561,0.251399933855553,0.37331619276662,6.55514385449684,2.12461991853462,6.55514385449684,6.55514385449684,7.69676497037247
"43",44,51,2.60046854758073,1.97754076994172,0.254151337308625,0.378139640381717,6.49524028705136,2.12519932424055,6.49524028705136,6.49524028705136,7.66603321069773
"44",45,52,2.59472280907387,1.96806690451542,0.236456273375421,0.374264511029386,6.43880699927779,2.10690852342157,6.43880699927779,6.43880699927779,7.5670740982031
"45",46,53,2.61139212125434,2.0197080717738,0.24295502166142,0.372027157147443,6.52107748514585,2.10457961632075,6.52107748514585,6.52107748514585,7.87137422529096
"46",47,54,2.6138961149881,2.00221262960791,0.235467033413795,0.360172491274564,6.52891133433198,2.12717668520548,6.52891133433198,6.52891133433198,7.69571488278184
"47",48,55,2.61573476418113,2.00539851707609,0.233289627086548,0.369749518876996,6.44824684950521,2.14128464992354,6.44824684950521,6.44824684950521,7.80347969961917
"48",49,56,2.59817386760128,2.01373485483549,0.243512787410059,0.367113261959713,6.48390016336634,2.10943966420704,6.48390016336634,6.48390016336634,7.77677600871149
"49",50,57,2.62357082326868,1.99812315974379,0.234370446860039,0.361929932616174,6.51646317741211,2.14581094769679,6.51646317741211,6.51646317741211,7.76702937305601
"50",51,58,2.5910944748217,1.98421280927072,0.242743025547763,0.372633893493869,6.51690567761711,2.1184683214398,6.51690567761711,6.51690567761711,7.68777853161837
"51",52,59,2.59884053626146,2.01469189485829,0.240305041194274,0.369485692925129,6.64746419942456,2.09091321730194,6.64746419942456,6.64746419942456,7.86890380238536
"52",53,60,2.62249979945985,2.00570629185955,0.242924243867814,0.38053200501111,6.55618695096683,2.13693876951549,6.55618695096683,6.55618695096683,7.78152851524328
"53",54,61,2.59099825950336,1.95994299780079,0.242732197531316,0.375762983929511,6.37825723634083,2.12090098635485,6.37825723634083,6.37825723634083,7.61407508427588
"54",55,62,2.61401268819267,2.03391555297927,0.222405374237906,0.358503617049146,6.51176048511301,2.11413075826917,6.51176048511301,6.51176048511301,7.74586175230325
"55",56,63,2.63279231429837,2.00313018009233,0.252455783728457,0.381232023409415,6.56184970601086,2.12529803341129,6.56184970601086,6.56184970601086,7.66607096565543
"56",57,64,2.62124428918178,2.01967918891849,0.250593976618174,0.374578078373618,6.52138583471053,2.12077362489433,6.52138583471053,6.52138583471053,7.88474178181208
"57",58,65,2.59127292909681,2.00520006789806,0.230961824669297,0.354839240719652,6.4731720301614,2.09486337953871,6.4731720301614,6.4731720301614,7.70408471703039
"58",59,66,2.5991855426652,1.99916356846145,0.240515448544106,0.368404369400983,6.524675913366,2.12244260866719,6.524675913366,6.524675913366,7.73962678335577
"59",60,67,2.6111585166765,2.01220962489105,0.226771546049116,0.345736256616501,6.52561658629243,2.11428003088637,6.52561658629243,6.52561658629243,7.67661829147535
"60",61,68,2.6041706542926,2.00002358384171,0.235409201649888,0.362748872566287,6.44318932208292,2.12571787108664,6.44318932208292,6.44318932208292,7.75479925592163
"61",62,69,2.57940138646656,1.98400104838146,0.23362220738793,0.35138979696501,6.45890655303934,2.10919429556394,6.45890655303934,6.45890655303934,7.72439511348897
"62",63,70,2.58801823600685,1.98605399364459,0.236067451612701,0.366334735475674,6.4873848694837,2.08796283200709,6.4873848694837,6.4873848694837,7.73468538213484
"63",64,71,2.6147795640774,2.03448753052304,0.240350547287877,0.364094798793759,6.64430334620038,2.11158934776567,6.64430334620038,6.64430334620038,7.83306031319845
"64",65,72,2.59099561265084,1.99496196083326,0.223183195142187,0.355411572607075,6.47464060788591,2.08871933704827,6.47464060788591,6.47464060788591,7.67596443259919
"65",66,73,2.65145106408085,2.04186331679064,0.246992118467753,0.37845552704728,6.65420927010262,2.14459290184532,6.65420927010262,6.65420927010262,7.778273875572
"66",67,74,2.61954569103534,2.00165275270132,0.245781877737639,0.3722273243123,6.44378548993121,2.14553711301111,6.44378548993121,6.44378548993121,7.7556320146234
"67",68,75,2.61437532736998,2.02078623617182,0.225012698861855,0.346222007946521,6.54901777892728,2.12349105299428,6.54901777892728,6.54901777892728,7.84351445253409
"68",69,76,2.61010993531676,2.01474816193471,0.234060017369546,0.368205572352426,6.56937170765225,2.10756626652651,6.56937170765225,6.56937170765225,7.76233852010027
"69",70,77,2.56671540238115,1.97005278737822,0.238904308281991,0.377458145077026,6.37050732548013,2.0793962666772,6.37050732548013,6.37050732548013,7.69280919551968
"70",71,78,2.57981206449857,1.98295157469585,0.226690155904079,0.353821134466217,6.48608867458236,2.09352634249676,6.48608867458236,6.48608867458236,7.71140831631298
"71",72,79,2.56971697600789,1.98711639134828,0.240962442318182,0.357097324137802,6.49416100468128,2.06323403160473,6.49416100468128,6.49416100468128,7.64001282458548
"72",73,80,2.58375745154217,1.98749633038042,0.23578551635841,0.358147071005197,6.4704008368433,2.09844444539263,6.4704008368433,6.4704008368433,7.61713512893359
"73",74,81,2.61730442886951,2.02297409683794,0.236937390495137,0.374012180972711,6.60378774945371,2.09462397994544,6.60378774945371,6.60378774945371,7.76872240054324
"74",75,82,2.61711700845253,2.04389947506245,0.248057585841089,0.380579970215726,6.61057877737207,2.10351060443107,6.61057877737207,6.61057877737207,7.89398263290751
"75",76,83,2.6081366586279,2.01798009908264,0.230735782754093,0.366223704749777,6.57241548424808,2.10399558173017,6.57241548424808,6.57241548424808,7.78199936741634
"76",77,84,2.6089962528992,2.00888199356431,0.246139674725082,0.369542972202802,6.54866145839965,2.10242616438617,6.54866145839965,6.54866145839965,7.81822804936432
"77",78,85,2.62661791000382,2.00622688281323,0.239196382034158,0.383931709137883,6.50751192440921,2.14030958294579,6.50751192440921,6.50751192440921,7.75676397989638
"78",79,86,2.60940719013246,1.99150263252032,0.23082991405362,0.375926444626318,6.556162139977,2.12754698457391,6.556162139977,6.556162139977,7.68717287005726
"79",80,87,2.57688195398954,1.97759278809317,0.230355454347042,0.364612326950697,6.35592315706301,2.09693144809165,6.35592315706301,6.35592315706301,7.56025071209617
"80",81,88,307.53166829558,21.5657914864729,266.522737305586,272.717305504135,344.622884113551,307.146630730785,344.622884113551,344.622884113551,351.51249201418
"81",82,89,177.766615310751,174.749297982795,10.469657897259,14.0387913544434,525.035697742778,106.15498776025,525.035697742778,525.035697742778,551.670520098437
"82",83,90,34.924106587811,77.680343492213,4.84448977868506,5.77254180046599,79.5027420334588,16.1430219056841,79.5027420334588,79.5027420334588,227.259679301135
"83",84,91,8.74338229641945,6.67151013197503,3.36151216454719,3.70817793294595,16.3934014045955,6.98979429876287,16.3934014045955,16.3934014045955,21.4720917781053
"84",85,92,4.72463896261242,1.59460468086888,2.65924050724322,2.81245527035699,7.4572337368198,4.30018297825801,7.4572337368198,7.4572337368198,7.81184618231766
"85",86,93,3.27957243092292,0.749369142229045,2.18343454943418,2.28287614017895,4.59212994079123,3.12842086935007,4.59212994079123,4.59212994079123,4.83300562831649
"86",87,94,2.60217795846484,0.444759134080598,1.9191792899314,1.98558239177054,3.3823178148273,2.53573988830771,3.3823178148273,3.3823178148273,3.51569002060961
"87",88,95,2.19118493256185,0.290884787846644,1.72668008184256,1.76989009416195,2.70424330300717,2.16058205632481,2.70424330300717,2.70424330300717,2.77459803271779
"88",89,96,1.8366123887797,0.197846259523152,1.5099801546307,1.54285083151917,2.17944532266886,1.81840238576486,2.17944532266886,2.17944532266886,2.22340047317102
"89",90,97,1.58954993660022,0.139559315702206,1.35509311476241,1.37913044709847,1.83247989454187,1.5784727271886,1.83247989454187,1.83247989454187,1.86004042257277
