,active
0,1
1,0
2,0
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,2
33,1
34,22
35,2
36,1
37,3
38,5
39,9
40,15
41,8
42,10
43,10
44,11
45,10
46,14
47,20
48,25
49,27
50,58
51,78
52,69
53,94
54,74
55,86
56,73
57,153
58,136
59,120
60,187
61,309
62,424
63,486
64,560
65,579
66,609
67,484
68,573
69,565
70,813
71,871
72,854
73,758
74,1243
75,1031
76,886
77,1061
78,922
79,1371
80,1580
81,1239
82,1537
83,1292
84,1667
85,1408
86,1835
87,1607
88,1568
89,1902
90,1705
91,1802
92,2396
93,2564
94,2952
95,3656
96,2971
97,3602
98,3344
99,3339
100,3175
101,4311
102,3592
103,3562
104,3726
105,3991
106,3808
107,4794
108,5049
109,4628
110,6154
111,5720
112,6023
113,6536
114,6665
115,7111
116,6414
117,5907
118,7246
119,7254
120,8138
121,8364
122,8789
123,7723
124,8812
125,9689
126,9847
127,9472
128,10408
129,10882
130,8536
131,9981
132,11156
133,11135
134,11306
135,12039
136,11404
137,10032
138,11085
139,13108
140,13829
141,14740
142,15918
143,15151
144,13560
145,15656
146,16868
147,18205
148,18255
149,20142
150,19610
151,18339
152,18256
153,19429
154,21947
155,22718
156,24018
157,23942
158,22500
159,23145
160,25561
161,25790
162,27762
163,29106
164,28178
165,29917
166,32607
167,35468
168,34824
169,37411
170,40235
171,36806
172,39170
173,45601
174,48443
175,48888
176,50072
177,48932
178,46484
179,49631
180,52479
181,54968
182,57486
183,55117
184,52672
185,50488
186,51282
187,56626
188,62170
189,61455
190,65156
191,62117
192,53016
193,61252
194,67066
195,64141
196,65610
197,63986
