dates,state,cum_positive_cases,cum_positivity_rate,cum_recovered,cum_deceased,daily_deceased,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tested,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma
30 January,India,1,,,,,1,,,,,,,,,,
31 January,India,,,,,,,,,,,,,,,,
01 February,India,,,,,,,,,,,,,,,,
02 February,India,2,,,,,1,,,,,,,,,,
03 February,India,3,,,,,1,,,,,,,,,,
04 February,India,,,,,,,,,,,,,,,,
05 February,India,,,,,,,,,,,,,,,,
06 February,India,,,,,,,,1.0,,,,,,,,
07 February,India,,,,,,,,1.0,,,,,,,,
08 February,India,,,,,,,,1.0,,,,,,,,
09 February,India,,,,,,,,1.0,,,,,,,,
10 February,India,,,,,,,,,,,,,,,,
11 February,India,,,,,,,,,,,,,,,,
12 February,India,,,,,,,,,,,,,,,,
13 February,India,,,,,,,,,,,,,,,,
14 February,India,3,,3,,,,,,,,,,,,,
15 February,India,,,,,,,,,,,,,,,,
16 February,India,,,,,,,,,,,,,,,,
17 February,India,,,,,,,,,,,,,,,,
18 February,India,,,,,,,,,,,,,,,,
19 February,India,,,,,,,,,,,,,,,,
20 February,India,,,,,,,,,,,,,,,,
21 February,India,,,,,,,,,,,,,,,,
22 February,India,,,,,,,,,,,,,,,,
23 February,India,,,,,,,,,,,,,,,,
24 February,India,,,,,,,,,,,,,,,,
25 February,India,,,,,,,,,,,,,,,,
26 February,India,,,,,,,,,,,,,,,,
27 February,India,,,,,,,,,,,,,,,,
28 February,India,,,,,,,,,,,,,,,,
29 February,India,,,,,,,,,,,,,,,,
01 March,India,,,,,,,,,,,,,,,,
02 March,India,5,,3,,,2,,2.0,,,,,,,,
03 March,India,6,,3,,,1,,1.5,,,,,,,,
04 March,India,28,,3,,,22,,8.333333333333334,,,,,,,,
05 March,India,30,,3,,,2,,6.75,,,,,,,,
06 March,India,31,,3,,,1,,5.6,,,,,,,,
07 March,India,34,,3,,,3,,5.166666666666667,,,,,,,,
08 March,India,39,,3,,,5,,5.142857142857143,,,,,,,,
09 March,India,48,,3,,,9,,6.142857142857143,,,,,,,,
10 March,India,63,,3,,,15,,8.142857142857142,,,,,,,,
11 March,India,71,,3,,,8,,6.142857142857143,,,,,,,,
12 March,India,81,,3,,,10,,7.285714285714286,,,,,,,,
13 March,India,91,1.4,3,1,1,10,0.15384615384615385,8.571428571428571,0.15384615384615385,6500,6500,4.739819114647729,,,6500.0,1.0
14 March,India,102,1.5692307692307692,3,1,,11,,9.714285714285714,0.15384615384615385,,6500,4.739819114647729,,,6500.0,1.0
15 March,India,112,1.7230769230769232,3,1,,10,,10.428571428571429,0.15384615384615385,,6500,4.739819114647729,,,6500.0,1.0
16 March,India,126,1.9384615384615385,3,1,,14,,11.142857142857142,0.15384615384615385,,6500,4.739819114647729,,,6500.0,1.0
17 March,India,146,2.246153846153846,3,1,,20,,11.857142857142858,0.15384615384615385,,6500,4.739819114647729,,,6500.0,1.0
18 March,India,171,1.302857142857143,3,1,,25,0.37735849056603776,14.285714285714286,0.26666666666666666,6625,13125,9.570788596884837,,,6562.5,1.0
