"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,1.16289532863667,0.615928615024649,0.296860464442162,0.374539761870373,2.32473830841723,1.04669384392175,2.32473830841723,2.32473830841723,2.65334706654053
"2",3,10,1.08416295912998,0.565507555794161,0.263589809805702,0.343626935943854,2.14083417613102,0.990612929653031,2.14083417613102,2.14083417613102,2.44732797364572
"3",4,11,1.09571191573819,0.572247966206512,0.287105304806644,0.354753620996404,2.16565780762617,0.996808540957919,2.16565780762617,2.16565780762617,2.46263922861985
"4",5,12,0.858565597399001,0.532966848022,0.150180458839281,0.205601421748354,1.87952522981976,0.75586053817152,1.87952522981976,1.87952522981976,2.19082222153181
"5",6,13,0.575681179233872,0.442176694800028,0.0505853027627149,0.0802143673921482,1.43481999377352,0.464902953779923,1.43481999377352,1.43481999377352,1.70318988328476
"6",7,14,0.649844666315049,0.499372857490955,0.0600371269540596,0.0954643498392926,1.62468397431612,0.524369308406339,1.62468397431612,1.62468397431612,1.90701433171601
"7",8,15,0.806452631032947,0.634333217056271,0.0702215847533115,0.112248457770753,2.03883479168002,0.648143688763156,2.03883479168002,2.03883479168002,2.42436877785064
"8",9,16,1.09588509807338,0.871548773709987,0.0947513058523948,0.1524897885349,2.80436970446116,0.87826983736332,2.80436970446116,2.80436970446116,3.35596713257796
"9",10,17,1.5092538721339,1.1865613186468,0.136650857114054,0.208395106603308,3.85258749982871,1.21737737879388,3.85258749982871,3.85258749982871,4.61754646550224
"10",11,18,1.97535452770931,1.56414575465986,0.173041200580566,0.269971443473465,5.07773132204349,1.5688898173165,5.07773132204349,5.07773132204349,6.06974278329068
"11",12,19,2.23714165147608,1.72713843499077,0.192233867530611,0.305958331015879,5.63922788630447,1.82335097999152,5.63922788630447,5.63922788630447,6.59721011654623
"12",13,20,2.41885776465354,1.91737245580563,0.222538102039841,0.333209842954405,6.13008377257909,1.9357126387296,6.13008377257909,6.13008377257909,7.47918120308671
"13",14,21,2.48869431045293,1.91322199543348,0.235649651358081,0.359986604474756,6.22897537583498,2.02590152401599,6.22897537583498,6.22897537583498,7.49334639379916
"14",15,22,2.56324190370461,1.97952743331301,0.228905487544219,0.369603039482213,6.37738881972354,2.06949051724723,6.37738881972354,6.37738881972354,7.60886546636851
"15",16,23,2.55970968722793,1.95679415034499,0.22135937628114,0.359620063782914,6.32450325148303,2.08716371077564,6.32450325148303,6.32450325148303,7.51706411478791
"16",17,24,2.57529753108399,1.97564061628704,0.2264197212732,0.365112591540792,6.48854408569801,2.090107900407,6.48854408569801,6.48854408569801,7.69078116204107
"17",18,25,2.60815068977122,1.98715485607612,0.241623693954055,0.370317688263852,6.48226593619549,2.13561083486058,6.48226593619549,6.48226593619549,7.60885695298076
"18",19,26,2.60205093079727,1.99231914597683,0.237933293648472,0.376811150814243,6.47653705823011,2.11808198006446,6.47653705823011,6.47653705823011,7.60192229564467
"19",20,27,2.58895894031822,2.00040140224244,0.228339673002729,0.355710056311766,6.51485370879415,2.11039164878832,6.51485370879415,6.51485370879415,7.73831879472111
"20",21,28,2.59248829506289,1.99501503159432,0.229809292527144,0.354946290389403,6.44839674341533,2.08512785819668,6.44839674341533,6.44839674341533,7.80943548125494
"21",22,29,2.60998036746638,1.97518104492231,0.244109950158881,0.374590853159694,6.46548237553541,2.13985637290514,6.46548237553541,6.46548237553541,7.83249292104574
"22",23,30,2.57340176341733,1.96791473495389,0.217766691564346,0.358399875203303,6.44859462552949,2.09908666531299,6.44859462552949,6.44859462552949,7.58968437476984
"23",24,31,2.60704444753094,2.00678399059058,0.231129694432643,0.365911173375413,6.54282532796079,2.10906457382093,6.54282532796079,6.54282532796079,7.78036547587732
"24",25,32,2.62917134126071,2.01879560409275,0.233384765390845,0.384760203987644,6.58240751100511,2.14437147328788,6.58240751100511,6.58240751100511,7.83966441087142
"25",26,33,5.69132871236705,2.96038409877234,1.37975866513334,1.80133882798843,11.2268484591198,5.20636009316257,11.2268484591198,11.2268484591198,12.9315183639168
"26",27,34,6.71530587705804,3.17737217920757,2.02014367689758,2.47921422552603,12.6471441859271,6.20794459309522,12.6471441859271,12.6471441859271,14.2872803649446
"27",28,35,27.7805580881893,8.67508633238245,14.0706383736854,15.5784378517062,43.4945276564723,26.6815744881987,43.4945276564723,43.4945276564723,47.2752054302364
"28",29,36,15.3778665411848,7.3037150441821,5.14038084622507,6.1655930413465,29.6422373542899,13.9769536348936,29.6422373542899,29.6422373542899,33.4012310734001
"29",30,37,6.02979417026904,3.61709385151865,2.19527407436833,2.43872413538093,13.8150776381268,4.94500136394827,13.8150776381268,13.8150776381268,16.2808350509374
"30",31,38,2.80579080194452,1.13880395740592,1.4586844219082,1.59421092267505,5.0443901292767,2.53792963368836,5.0443901292767,5.0443901292767,6.03732459983119
"31",32,39,1.97440708983688,0.425915369776619,1.27895479098158,1.36604017172859,2.75683897597166,1.92323851832178,2.75683897597166,2.75683897597166,2.95059767654539
"32",33,40,1.91378782975551,0.319645029247649,1.3638152120111,1.43372843152536,2.48690559358392,1.88888657653234,2.48690559358392,2.48690559358392,2.60489925669493
"33",34,41,2.08574730633948,0.296614774405341,1.55046209980059,1.6267611413281,2.59552256477958,2.06962791478979,2.59552256477958,2.59552256477958,2.70608045022071
"34",35,42,1.9953382604983,0.276703073890232,1.4927649603735,1.55989818675518,2.47674909191128,1.98391288321826,2.47674909191128,2.47674909191128,2.56445803662889
"35",36,43,1.36588891152203,0.212470431321543,0.992237944304293,1.04221260457876,1.73587251026232,1.35047435038807,1.73587251026232,1.73587251026232,1.81417793915075
"36",37,44,1.31361266155932,0.188950243449214,0.975007300592563,1.02312410810066,1.64479919182463,1.30404209572142,1.64479919182463,1.64479919182463,1.71451540559615
"37",38,45,1.35438626925666,0.169598130376407,1.04701417238971,1.09032339135014,1.6454042206371,1.3462627089193,1.6454042206371,1.6454042206371,1.70978897270287
"38",39,46,1.39778783328309,0.160889463812068,1.10272952700359,1.14762862302573,1.67421426590786,1.39079699886869,1.67421426590786,1.67421426590786,1.73372815416676
"39",40,47,1.472403693771,0.162824879072876,1.16796207920033,1.21231665833914,1.74910488564204,1.46745952697916,1.74910488564204,1.74910488564204,1.80607152321206
"40",41,48,1.52484562595643,0.162800963723787,1.22520397774887,1.26807662862609,1.80291641461798,1.5181931712821,1.80291641461798,1.80291641461798,1.85994488345593
"41",42,49,1.51880733162559,0.159296836872878,1.22710835369566,1.2689727366224,1.79164276430731,1.51302695870087,1.79164276430731,1.79164276430731,1.85145136337918
"42",43,50,1.60339411853435,0.15753819102245,1.30825975828192,1.35401272337757,1.87249983765825,1.59992382503719,1.87249983765825,1.87249983765825,1.92648764294282
"43",44,51,1.973279090876,0.171797450288036,1.64903416321917,1.70001837240385,2.26428885123298,1.96894430357479,2.26428885123298,2.26428885123298,2.32174550337817
"44",45,52,2.41539933250311,0.202913450699694,2.03011819988779,2.08640575564425,2.75120099759193,2.41052542122593,2.75120099759193,2.75120099759193,2.81616715139041
"45",46,53,2.52326996751179,0.258215633191775,2.03603351277142,2.10197062748355,2.95545231913344,2.52061913363459,2.95545231913344,2.95545231913344,3.02854948727706
"46",47,54,2.5666526412349,0.312139940997625,2.01354910242656,2.08478089676738,3.12210778472489,2.54811994716831,3.12210778472489,3.12210778472489,3.22434298261339
"47",48,55,2.29145245266311,0.277764897208646,1.80735819677164,1.86588735256956,2.78745292860669,2.27366849046944,2.78745292860669,2.78745292860669,2.895516645623
"48",49,56,2.04262771386967,0.223698244010699,1.64924069480839,1.69251260695662,2.4410091274791,2.02798350246035,2.4410091274791,2.4410091274791,2.52291322309421
