"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,1.17543222510013,0.625810655589991,0.292382276543115,0.373643187542398,2.37764140289616,1.05809431333253,2.37764140289616,2.37764140289616,2.69222017134115
"2",3,10,1.0999684155876,0.5666710115268,0.285317944203384,0.361118035509435,2.17250987908826,1.00402796145997,2.17250987908826,2.17250987908826,2.47679349051408
"3",4,11,1.11299016621731,0.57907670741242,0.28588214011308,0.358881405415608,2.19668347946265,1.01299706235222,2.19668347946265,2.19668347946265,2.4809783168482
"4",5,12,0.853288344824311,0.516233050852916,0.156691539400537,0.210774201805496,1.83587640549103,0.7463780875055,1.83587640549103,1.83587640549103,2.09540340384054
"5",6,13,0.593900414643466,0.455724211585117,0.0544352414666597,0.0837032041156755,1.47311234426063,0.481559560853305,1.47311234426063,1.47311234426063,1.74488099049695
"6",7,14,0.657529422065649,0.513777532767993,0.0588743288752127,0.0922888792162277,1.64105683251352,0.525444744264822,1.64105683251352,1.64105683251352,1.99042054954882
"7",8,15,0.816020370018849,0.648090130161933,0.0748794348693881,0.112575704854629,2.10555848867101,0.644366495247418,2.10555848867101,2.10555848867101,2.52124922155463
"8",9,16,1.11139316261657,0.868695433711306,0.0975074664616106,0.151950854461878,2.78228019074196,0.895428090346064,2.78228019074196,2.78228019074196,3.3290495844101
"9",10,17,1.49833629628471,1.20176177805843,0.13040913483234,0.204424935686384,3.83989527845626,1.18653210834293,3.83989527845626,3.83989527845626,4.67380776283423
"10",11,18,1.89950997719452,1.48295682899898,0.173553510487754,0.267698180589172,4.81175977487879,1.5246074538296,4.81175977487879,4.81175977487879,5.71073353179131
"11",12,19,2.18233744833475,1.6894066587487,0.204683757685969,0.307094840552586,5.5588092117124,1.75403988886252,5.5588092117124,5.5588092117124,6.54960731129587
"12",13,20,2.37584491617568,1.84881347951114,0.210636843264578,0.342110622244493,5.98352412913241,1.90993321718919,5.98352412913241,5.98352412913241,7.11978271671465
"13",14,21,2.45958228769356,1.9191095839345,0.217114132892894,0.342171282343233,6.23730189215294,1.98659950806834,6.23730189215294,6.23730189215294,7.42015273121307
"14",15,22,2.53558716011986,1.94251143969308,0.235163803368862,0.363529356078914,6.33862260989428,2.06481153535975,6.33862260989428,6.33862260989428,7.59587373662538
"15",16,23,2.56855986550534,1.98523522103892,0.234471054876066,0.350946145181852,6.4840122099534,2.07358792662804,6.4840122099534,6.4840122099534,7.71694152036485
"16",17,24,2.57255669637521,1.97637890418626,0.234736723119501,0.359093701545671,6.47073691131013,2.07247611389744,6.47073691131013,6.47073691131013,7.65309801484515
"17",18,25,2.62091765652396,2.0200363548904,0.237370310221429,0.37435038138804,6.54935067667817,2.10234575868655,6.54935067667817,6.54935067667817,7.86260300163793
